alpha_distance,gamma_quality,threshold_low,total_error,annual_spend_low,annual_spend_low_std,annual_spend_medium,annual_spend_medium_std,annual_spend_high,annual_spend_high_std,weekly_share,weekly_share_std,subweekly_share,subweekly_share_std,distance_car_mi,distance_car_mi_std,distance_no_car_mi,distance_no_car_mi_std,small_store_share,small_store_share_std,pantry_user_share,pantry_user_share_std,error_spend_low,error_spend_medium,error_spend_high,error_weekly_freq,error_subweekly_freq,error_distance_car,error_distance_no_car,error_small_store,pass_spend_low,pass_spend_medium,pass_spend_high,pass_weekly_freq,pass_subweekly_freq,pass_distance_car,pass_distance_no_car,pass_small_store,all_pass
1.0,0.8,2.5,3.792736747094081,9108.977988537585,0.0,9415.641755452183,0.0,18237.111149202137,0.0,0.35,0.0,0.625,0.0,1.8809124639022152,0.0,1.2099529193117566,0.0,0.08624454148471616,0.0,0.26,0.0,0.7337224949633774,0.04571765387074446,0.07251888668561146,0.1250000000000001,1.840909090909091,0.4467904517934661,0.45002140031283794,0.07805676855895202,False,True,True,True,False,False,False,True,False
1.0,0.8,3.0,3.8558160494364424,9181.364841282944,0.0,9277.968364766239,0.0,18045.43212627201,0.0,0.35,0.0,0.625,0.0,1.879946600804078,0.0,1.2099529193117569,0.0,0.09229098805646037,0.0,0.32,0.0,0.7474999697911962,0.030427406126859024,0.06124630241543233,0.1250000000000001,1.840909090909091,0.4470745291752712,0.4500214003128378,0.15363735070575457,False,True,True,True,False,False,False,True,False
0.8,0.6,2.5,3.8596308256537286,9383.728265982625,0.0,9150.861699486126,0.0,18685.5238878108,0.0,0.35,0.0,0.625,0.0,1.8999999428916083,0.0,1.2099529193117566,0.0,0.0718954248366013,0.0,0.28,0.0,0.7860160384435906,0.016310717401835394,0.09888990165906841,0.1250000000000001,1.840909090909091,0.44117648738482107,0.45002140031283794,0.10130718954248374,False,True,True,True,False,False,False,True,False
0.8,0.6,3.0,4.046805136148613,9473.662402129796,0.0,9445.064920963494,0.0,17973.788667738663,0.0,0.325,0.0,0.65,0.0,1.9092914167477448,0.0,1.2099529193117566,0.0,0.07142857142857142,0.0,0.3,0.0,0.8031333083612097,0.04898544213277365,0.05703297269693385,0.18750000000000003,1.9545454545454548,0.4384437009565456,0.45002140031283794,0.1071428571428572,False,True,True,True,False,False,False,True,False
1.2,0.8,3.0,4.1875656974018245,8663.117420936047,0.0,9170.884885880874,0.0,17679.604150994026,0.0,0.35,0.0,0.625,0.0,1.8177406042504132,0.0,1.1916329923835884,0.0,0.12363238512035012,0.0,0.28,0.0,0.6488613286897691,0.018534527530083764,0.03973207192390179,0.1250000000000001,1.840909090909091,0.46537041051458433,0.45834863982564167,0.5908096280087528,False,True,True,True,False,False,False,False,False
1.2,0.8,2.5,4.387192683806122,8619.741747063417,0.0,9096.644935017293,0.0,18182.058636375135,0.0,0.35,0.0,0.625,0.0,1.8093500191504386,0.0,1.1841905220690199,0.0,0.13086150490730644,0.0,0.28,0.0,0.6406055856610996,0.01028930864252481,0.06928126537139116,0.1250000000000001,1.840909090909091,0.4678382296616357,0.46173158087771826,0.7715376226826609,False,True,True,True,False,False,False,False,False
1.0,0.6,2.5,4.421970756350145,8539.318834372514,0.0,9201.454625275252,0.0,18849.0284903139,0.0,0.375,0.0,0.6,0.0,1.8046369971090341,0.0,1.1717864048780726,0.0,0.13759479956663057,0.0,0.3,0.0,0.6252985980914568,0.021929656294452645,0.10850555694624206,0.06250000000000006,1.7272727272727273,0.4692244126149899,0.4673698159645125,0.939869989165764,False,True,False,True,False,False,False,False,False
0.8,0.4,2.5,4.444712621424839,8473.96320419681,0.0,9093.482546853676,0.0,18163.024775276263,0.0,0.35,0.0,0.625,0.0,1.8026746411516454,0.0,1.177623636497342,0.0,0.1341330425299891,0.0,0.28,0.0,0.6128593841257729,0.009938088277840568,0.0681618898656941,0.1250000000000001,1.840909090909091,0.46980157613186896,0.4647165288648446,0.853326063249727,False,True,True,True,False,False,False,False,False
0.8,0.4,3.0,4.536663448132027,8541.676610799064,0.0,9146.758226693615,0.0,18902.037837419586,0.0,0.35,0.0,0.625,0.0,1.7993553405104543,0.0,1.177623636497342,0.0,0.13528138528138528,0.0,0.26,0.0,0.6257473564520488,0.015854978531054546,0.11162302031401941,0.1250000000000001,1.840909090909091,0.47077784102633696,0.4647165288648446,0.8820346320346318,False,True,False,True,False,False,False,False,False
1.0,0.6,3.0,4.540248572351249,8526.933645653127,0.0,9285.385483391288,0.0,19250.565775974326,0.0,0.35,0.0,0.625,0.0,1.8200287754889504,0.0,1.177623636497342,0.0,0.13434452871072589,0.0,0.34,0.0,0.6229413105544589,0.031251164303785904,0.1321198409770834,0.1250000000000001,1.840909090909091,0.4646974189738381,0.4647165288648446,0.858613217768147,False,True,False,True,False,False,False,False,False
0.8,0.8,2.5,4.580977953778431,9941.756405183982,0.0,9549.550102038907,0.0,19176.747718653998,0.0,0.35,0.0,0.625,0.0,1.9754740310550807,0.0,1.316823671746211,0.0,0.02287581699346405,0.0,0.26,0.0,0.8922261905565249,0.060589749226888874,0.12777862377405305,0.1250000000000001,1.840909090909091,0.41897822616027036,0.4014437855699042,0.7140522875816994,False,True,False,True,False,False,False,False,False
0.8,0.8,3.0,4.583336209060086,9871.538783488895,0.0,9613.497263918915,0.0,19558.28643305066,0.0,0.35,0.0,0.625,0.0,1.9772651852193872,0.0,1.316823671746211,0.0,0.023939064200217627,0.0,0.28,0.0,0.8788615880260554,0.06769183295412201,0.15021679799168783,0.1250000000000001,1.840909090909091,0.4184514161119449,0.4014437855699042,0.7007616974972797,False,True,False,True,False,False,False,False,False
0.8,0.6,2.0,4.738469223525467,13879.595687831654,0.0,9430.795644034859,0.0,17705.680948396264,0.0,0.375,0.0,0.625,0.0,1.882388400581483,0.0,1.186154852185448,0.0,0.0957983193277311,0.0,0.28,0.0,1.6417197730931963,0.04740067126109051,0.0412656403432289,0.06250000000000006,1.840909090909091,0.446356352770152,0.4608387035520692,0.1974789915966387,False,True,True,True,False,False,False,True,False
1.2,0.6,3.0,4.812619436117631,8097.090807254511,0.0,9044.562302939332,0.0,18616.873527797947,0.0,0.35,0.0,0.625,0.0,1.7883978647078478,0.0,1.1841905220690199,0.0,0.15081967213114755,0.0,0.28,0.0,0.5411288175208433,0.004504920361987101,0.09485259514219871,0.1250000000000001,1.840909090909091,0.4740006280271036,0.46173158087771826,1.2704918032786887,False,True,True,True,False,False,False,False,False
1.0,0.8,2.0,4.939875850849029,13350.501738985284,0.0,9464.279486417558,0.0,17258.047117890394,0.0,0.375,0.0,0.625,0.0,1.847026067263233,0.0,1.186154852185448,0.0,0.12047177759056445,0.0,0.28,0.0,1.5410166994642718,0.05111944540399351,0.014940432715266617,0.06250000000000006,1.840909090909091,0.4567570390402256,0.4608387035520692,0.511794439764111,False,True,True,True,False,False,False,False,False
1.2,0.6,2.5,5.167361216269034,8084.2525018735505,0.0,9051.924479991187,0.0,18553.70487736899,0.0,0.325,0.0,0.65,0.0,1.7818668158617468,0.0,1.1665636186924104,0.0,0.15778019586507072,0.0,0.3,0.0,0.5386852877566712,0.005322576631628906,0.09113766627669898,0.18750000000000003,1.9545454545454548,0.47592152474654503,0.469743809685268,1.444504896626768,False,True,True,True,False,False,False,False,False
