alpha,gamma,threshold_low,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,avg_dist_car,avg_dist_nocar
2.5,1.5,7.0,0.5637483826113965,8548.271777323622,9830.009071414746,12112.657748744625,0.04014730776868083,2.487945866312715,1.7885152021377626
2.5,1.5,6.0,0.5729719191189412,9056.815720879755,9893.082204065506,12160.337795068697,0.04330034764666032,2.480946009417249,1.7768884330763524
2.0,1.5,7.0,0.5898867161376454,8567.955037018226,9932.749976840234,12680.206532742188,0.0242171726823651,2.531863571970677,1.8074166754010221
2.5,1.5,5.0,0.591531756258103,10081.41310539513,9842.396777101207,12127.78333774749,0.047847272790094486,2.4769069056636033,1.7500912255099408
2.5,2.0,7.0,0.5931975750323103,8561.976741813209,9950.281036274579,12774.40286845487,0.02091027721939134,2.5344092988280016,1.8009941461841017
2.0,1.5,6.0,0.6008366469267954,9115.708602466615,9983.363996449663,12710.96448898508,0.02645146233046186,2.527286840162783,1.7914654673497863
2.5,2.0,6.0,0.6099332544378583,9175.418672700127,9975.788469583988,12667.75984648615,0.022173911173187483,2.54107396886222,1.7925057436877634
2.5,2.5,7.0,0.6204492940239931,8602.455919826898,10101.849834284832,12620.896885916094,0.011494293658174405,2.563782056910995,1.833863979557817
1.5,1.5,7.0,0.6241234997339014,8655.698079594333,10115.519858860114,12643.98313341805,0.010344811405261367,2.5637489777507683,1.8341343292815984
2.0,2.0,7.0,0.6246049019445101,8639.734926590818,10123.950350345604,12556.290591951678,0.010082859361388781,2.5645857479283216,1.8320024298125217
2.0,2.5,7.0,0.6263140099677831,8606.908016206398,10197.69062402625,12873.356818343347,0.007067725030822588,2.590258237227768,1.8330736500931633
2.0,1.5,5.0,0.6287909701503254,10196.12882205741,10015.825910896787,12676.203213445362,0.02737218708712499,2.5320949049355237,1.7660952577377251
1.5,2.0,7.0,0.63304052409103,8657.114025998404,10229.684617715131,12796.153722995083,0.005570224019591082,2.5993589740446654,1.8406257520354297
1.5,2.5,7.0,0.6344350213351381,8594.23727351576,10211.906416082707,12852.577192196173,0.004526312648871696,2.6006477120408564,1.852878490502439
2.5,2.0,5.0,0.6346285526365559,10226.93767041237,9997.55012933216,12609.483865385091,0.025250990290795805,2.543133418486439,1.7725573974942403
1.5,1.5,6.0,0.6390505281527484,9228.008015263675,10099.920329766448,12784.30704895839,0.01031970214533383,2.570436774268916,1.8281422889178802
2.5,2.5,6.0,0.6391674894151816,9169.944237806269,10127.713836139199,12781.178153884226,0.009771330755794765,2.575097385751857,1.8311291012478856
2.0,2.0,6.0,0.6393335847766466,9231.891526768828,10107.475053756489,12791.467005692879,0.010854568270439268,2.573974760193989,1.8333645339773967
2.0,2.5,6.0,0.6469863383344453,9171.535213986805,10242.783673333513,12764.545454582927,0.006154585530113377,2.5907810575721264,1.8307148462185818
1.5,2.0,6.0,0.6472562893625112,9209.110485232186,10138.608460777517,12782.33981609682,0.0054228436985325765,2.5961236166563446,1.8313455607832287
1.5,2.5,6.0,0.6502323413755592,9231.194288661596,10225.180431586898,12797.181932305604,0.0057235267680188625,2.6042927008201224,1.8388728489672201
2.0,2.0,5.0,0.6707998881773175,10369.416460149092,10071.037342907664,12886.483205957082,0.010515652167956127,2.5767664940992323,1.8180986621051038
2.5,2.5,5.0,0.6717474338178951,10384.279716547237,10033.60466050427,12782.25255861046,0.010225069238678665,2.5747552582455655,1.8162137658453978
1.5,1.5,5.0,0.6736819915571409,10311.586079720533,10176.723226711141,12722.860286504156,0.01005525218686257,2.5741680493747703,1.8195132632428175
2.0,2.5,5.0,0.6781874793860077,10315.454897475636,10194.64827111902,12802.523752088702,0.006961518435836503,2.59703374679245,1.821227822212343
1.5,2.5,5.0,0.6811301160077704,10295.67741087142,10169.864458024904,12914.568374751985,0.005070672962347644,2.605113090662165,1.8318408809208409
1.5,2.0,5.0,0.6812051392573277,10360.832325226338,10217.27857536412,12809.224851709625,0.006192337748537748,2.5983617563768626,1.8212031999594445
