config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,food_insecurity_share,grocery_share,avg_dist_car,avg_dist_nocar,total_trips
1,1.0,0.5,0.6,0.4,5.0,6.0,14.0,0.14700188270000655,3170.6965000907094,4326.400367941185,11717.056604522157,0.2903225806451613,0.35,0.6411290322580645,2.5991738394238175,0.5189218673598633,496.0
2,1.0,0.5,0.6,0.4,5.0,8.0,14.0,0.15116619373607784,3258.460717371397,4319.217677669052,12494.1338182186,0.2740286298568507,0.35,0.6687116564417178,2.65530844639573,0.5101701798036645,489.0
3,1.0,0.5,0.6,0.4,7.0,6.0,14.0,0.1668592693730311,3053.1316099712176,4390.540762441245,11787.921461527469,0.2645161290322581,0.35,0.6602150537634408,2.664700979094659,0.5087374931316374,465.0
4,1.0,0.5,0.6,0.4,7.0,8.0,14.0,0.17724780974591833,2994.5653708569084,4377.629088531957,12604.071384804383,0.2548596112311015,0.35,0.6760259179265659,2.701627938474763,0.49564945537371585,463.0
5,1.0,0.5,1.4,0.4,5.0,6.0,14.0,0.17818625087992948,3262.1006028787447,4567.725639555897,12141.945574757985,0.20588235294117646,0.35,0.7588235294117647,2.8559671798688995,0.5101701798036645,510.0
6,1.0,0.5,1.4,0.4,5.0,8.0,14.0,0.20689435328113645,3165.686351722546,4308.064812163871,12093.858270696277,0.1919191919191919,0.35,0.7454545454545455,2.856966005880614,0.5189218673598635,495.0
7,1.0,0.5,1.4,0.4,7.0,6.0,14.0,0.2113027005478397,2946.679887636132,4407.066477922949,12195.868782344874,0.20042643923240938,0.35,0.7313432835820896,2.871338263547914,0.5148999735099182,469.0
8,1.0,0.5,1.4,0.4,7.0,8.0,14.0,0.21192663249562238,2998.6472149000488,4387.740117116422,11758.490383547372,0.19522776572668113,0.35,0.7396963123644251,2.873068367699292,0.5143051540751629,461.0
9,1.0,0.5,2.2,0.4,5.0,6.0,14.0,0.2030447646277745,3219.5386099615635,4286.910065469605,13142.41624460034,0.1814595660749507,0.34,0.7534516765285996,2.918564795116884,0.5235625141098003,507.0
10,1.0,0.5,2.2,0.4,5.0,8.0,14.0,0.19693399268337908,3232.7659368559302,4317.244892777137,13316.919315763209,0.1875,0.34,0.7479838709677419,2.873999146124789,0.514137619818509,496.0
11,1.0,0.5,2.2,0.4,7.0,6.0,14.0,0.20653734824345132,2953.962801708281,4500.941778579415,12969.483674780338,0.1864406779661017,0.34,0.7351694915254238,2.874850361367065,0.5143051540751629,472.0
12,1.0,0.5,2.2,0.4,7.0,8.0,14.0,0.1988369932105046,3186.1774095586397,4359.918717283342,12883.606729293482,0.1857451403887689,0.34,0.7473002159827213,2.8953707954087307,0.514137619818509,463.0
13,1.0,0.5,2.6,0.4,5.0,6.0,14.0,0.1910564404400373,3269.4938466699605,4405.724587632601,13202.420818285987,0.1852589641434263,0.34,0.7231075697211156,2.863325595478936,0.514137619818509,502.0
14,1.0,0.5,2.6,0.4,5.0,8.0,14.0,0.19776874114515203,3270.738488355098,4319.009548415584,13735.72147749252,0.18163672654690619,0.34,0.7305389221556886,2.8682252792081036,0.514137619818509,501.0
15,1.0,0.5,2.6,0.4,7.0,6.0,14.0,0.2138091831565334,3040.344647714955,4253.344971899869,13451.844851417658,0.18669527896995708,0.34,0.7424892703862661,2.9038973810867446,0.5187662998358277,466.0
16,1.0,0.5,2.6,0.4,7.0,8.0,14.0,0.20989198284708027,3000.2483446451733,4229.0845339680345,12450.300455632807,0.2,0.34,0.7428571428571429,2.8784258636954334,0.5141376198185091,455.0
17,1.0,0.9,0.6,0.4,5.0,6.0,14.0,0.16504201877388447,3294.6505946338452,4524.366952882602,12072.93994630952,0.22817460317460317,0.35,0.6984126984126984,2.726718849308813,0.514137619818509,504.0
18,1.0,0.9,0.6,0.4,5.0,8.0,14.0,0.16942423006873422,3238.024883686345,4356.014863885756,11831.297478765815,0.24236252545824846,0.35,0.6843177189409368,2.702705299742565,0.5141376198185091,491.0
19,1.0,0.9,0.6,0.4,7.0,6.0,14.0,0.1838401853103542,3010.8821498844495,4423.724050624818,12493.439582595285,0.23779193205944799,0.35,0.7154989384288747,2.7428128238710823,0.5048802597838717,471.0
20,1.0,0.9,0.6,0.4,7.0,8.0,14.0,0.19040655513750585,3049.428954934061,4251.390071422868,11876.246792481783,0.23788546255506607,0.35,0.7070484581497798,2.745008132142085,0.5132960416335421,454.0
21,1.0,0.9,1.4,0.4,5.0,6.0,14.0,0.19243756827654016,3305.9111636068155,4311.6159415671,11682.463428887737,0.2,0.35,0.74,2.8781654806814894,0.5141376198185091,500.0
