config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,avg_dist_car,avg_dist_nocar,total_trips
3,1.5,0.7,1.0,0.4,7.0,7.0,14.0,0.5744652902074687,8875.47217550868,9748.957353360525,11714.882324828437,0.03354042635138433,2.5538562261197177,1.7356140872805301,10602.0
2,1.5,0.7,1.0,0.4,5.5,7.0,14.0,0.5837037640147935,9369.294661372274,9758.721287610137,11688.986677711566,0.037760047516975724,2.543513075077589,1.7356123707706954,10882.666666666666
6,1.5,0.7,1.5,0.4,7.0,7.0,14.0,0.6291352847694226,9018.822750527821,10042.582864937449,11693.636751908818,0.010884221005047762,2.6221108978560466,1.7777934260134118,10602.0
9,1.5,0.7,2.0,0.4,7.0,7.0,14.0,0.6402642210860975,9028.447594631101,10138.792369285316,11792.53239644573,0.005953769140197985,2.6447310212073845,1.7896493016926591,10615.0
1,1.5,0.7,1.0,0.4,4.0,7.0,14.0,0.64221888150254,12502.158822511856,9766.622416880824,11648.917237512273,0.057550995952524116,2.5125046471693486,1.6949096470652758,12664.333333333334
5,1.5,0.7,1.5,0.4,5.5,7.0,14.0,0.6455286101317493,9553.684317583271,10100.176272973511,11655.863725064488,0.011911650175133829,2.6200918747973474,1.7767815995533194,10901.0
8,1.5,0.7,2.0,0.4,5.5,7.0,14.0,0.6623037941577489,9624.962019270419,10123.566193068327,11827.891572035362,0.004554833300325078,2.647244708245723,1.7975843498030049,10893.0
4,1.5,0.7,1.5,0.4,4.0,7.0,14.0,0.7459116015204602,13026.234533562572,10075.488520739631,11791.045888228013,0.018261066887810554,2.614274512504951,1.7929816974236716,12684.333333333334
7,1.5,0.7,2.0,0.4,4.0,7.0,14.0,0.7810203646044838,13235.76573850572,10138.468383435007,11758.057186666243,0.005775922599284421,2.660617433445635,1.829465052003858,12671.0
10,1.5,0.7,2.5,0.4,4.0,7.0,14.0,0.7820668907814937,13257.358164582562,10138.062887767084,11803.978664884839,0.004908862406192874,2.675320032447352,1.8285900880689958,12687.333333333334
