config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,avg_dist_car,avg_dist_nocar,total_trips
38,2.0,0.7,1.0,0.4,5.5,7.0,14.0,0.5345284881185607,9189.638906068569,9602.2319281354,11697.57888525883,0.06016598597621566,2.499934069582643,1.7140253362516347,10908.0
39,2.0,0.7,1.0,0.4,7.0,7.0,14.0,0.5347116657658907,8751.911341027451,9590.20430840853,11725.441029329517,0.052316749093299586,2.5114339517247823,1.7222059009652086,10609.0
51,2.0,1.0,1.0,0.4,7.0,7.0,14.0,0.5423239120847513,8757.778131215244,9629.048972778548,11680.843502019596,0.04985859431230924,2.5149486776249077,1.7331444292893023,10616.666666666666
50,2.0,1.0,1.0,0.4,5.5,7.0,14.0,0.5424626809204477,9260.220605779481,9563.000999120919,11744.65168562883,0.056333900994910625,2.5048927342601033,1.717209705348486,10898.333333333334
37,2.0,0.7,1.0,0.4,4.0,7.0,14.0,0.560678918713159,12044.532814195562,9601.593986072296,11725.291490757561,0.09136110452683639,2.4437444581020076,1.651514710370374,12685.333333333334
3,1.5,0.7,1.0,0.4,7.0,7.0,14.0,0.5773550955841565,8872.095717031223,9736.222724743382,11588.927635588014,0.03352499747880397,2.550358275955723,1.7445763565460324,10582.333333333334
49,2.0,1.0,1.0,0.4,4.0,7.0,14.0,0.5776426084762716,12138.590733449566,9633.009653093673,11710.104683064428,0.08405662790428681,2.4545544585836923,1.6583442952233867,12675.0
2,1.5,0.7,1.0,0.4,5.5,7.0,14.0,0.5801908218405019,9359.023723073638,9804.065362464135,11739.236965399248,0.03930025657745167,2.5446269534150567,1.7311155115930426,10919.0
42,2.0,0.7,1.5,0.4,7.0,7.0,14.0,0.5858676991451452,8877.924568356751,9874.185120192931,11727.403709362925,0.029381041927630094,2.566767723509168,1.7480027864864216,10610.333333333334
15,1.5,1.0,1.0,0.4,7.0,7.0,14.0,0.5881737674564564,8914.673502620082,9862.52828020732,11760.595162707557,0.028198378408340014,2.563388877954255,1.7461790193587623,10618.0
54,2.0,1.0,1.5,0.4,7.0,7.0,14.0,0.592745703966251,8944.4602994432,9871.800274465324,11685.715712729581,0.02640814299733847,2.573901536132595,1.7464602032638965,10612.333333333334
27,1.5,1.3,1.0,0.4,7.0,7.0,14.0,0.593128410058888,8937.062266624916,9832.080043668706,11661.951404265244,0.02583632781910065,2.5719156876314972,1.7469680294222236,10585.666666666666
41,2.0,0.7,1.5,0.4,5.5,7.0,14.0,0.595179537681358,9423.982384596979,9848.420118491927,11799.917130574335,0.03260580577217868,2.5592438920627862,1.7407016864993075,10909.0
14,1.5,1.0,1.0,0.4,5.5,7.0,14.0,0.5958118311353746,9443.645089055264,9845.7376451064,11732.579627380655,0.03302174117528215,2.5578205951638826,1.7409625131840816,10912.666666666666
26,1.5,1.3,1.0,0.4,5.5,7.0,14.0,0.6014866555913488,9488.222874815996,9803.313238617,11731.129062169615,0.02991345667840341,2.570476340603524,1.7421174323153128,10893.333333333334
53,2.0,1.0,1.5,0.4,5.5,7.0,14.0,0.6050696831628382,9504.65533866967,9885.845080478703,11731.636010790578,0.028766082032890907,2.5725050063658763,1.7406340976711938,10920.0
45,2.0,0.7,2.0,0.4,7.0,7.0,14.0,0.6235596420967289,8992.647843288802,10029.422677834516,11763.463348755378,0.012655249928934631,2.618082964480728,1.7730298348243405,10607.0
18,1.5,1.0,1.5,0.4,7.0,7.0,14.0,0.6274249507477366,8981.698718824799,10078.238222371088,11794.221388277061,0.0109897614085315,2.6180792425213837,1.7770198521493767,10610.666666666666
6,1.5,0.7,1.5,0.4,7.0,7.0,14.0,0.6275806977280071,8989.261827479551,10057.031446390178,11726.91309473858,0.010751164868016994,2.6162862217715652,1.7731785158489435,10596.0
57,2.0,1.0,2.0,0.4,7.0,7.0,14.0,0.628286768655055,8980.2495133388,10100.850020220792,11759.986119203944,0.01062567354095445,2.619749819084459,1.7750802678840654,10609.333333333334
30,1.5,1.3,1.5,0.4,7.0,7.0,14.0,0.6337523875279182,9030.229166889096,10069.118135268423,11636.526413044741,0.009639852806401011,2.624134634567665,1.7835217196307942,10592.0
48,2.0,0.7,2.5,0.4,7.0,7.0,14.0,0.6380722903205046,9026.654269811499,10067.253639244047,11780.498231466534,0.006408674535754371,2.6390715309978394,1.7880221536995202,10590.0
