config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,avg_dist_car,avg_dist_nocar,total_trips
39,2.0,0.7,1.0,0.4,7.0,7.0,14.0,0.5340994358965451,8713.174677203477,9594.95124292134,11718.032483419998,0.05234104124450934,2.5155503119491214,1.7251260426696813,10603.666666666666
38,2.0,0.7,1.0,0.4,5.5,7.0,14.0,0.5348466594632222,9203.139647865382,9624.86487233062,11691.360936504783,0.06011803707081098,2.497241120052198,1.7104419859536788,10915.666666666666
51,2.0,1.0,1.0,0.4,7.0,7.0,14.0,0.5430897660942807,8775.495875747583,9621.90611987295,11530.625456917043,0.05011332130323265,2.5227987150810702,1.7308712376344182,10611.666666666666
50,2.0,1.0,1.0,0.4,5.5,7.0,14.0,0.5434323603022352,9226.341357988758,9635.938129613496,11679.604585142059,0.055638902645844986,2.508728466582456,1.7124216495608684,10906.0
37,2.0,0.7,1.0,0.4,4.0,7.0,14.0,0.5615351995385559,12039.989801709859,9574.333970011336,11738.796168707186,0.09028897455871977,2.445778500558704,1.6510827606100562,12672.0
3,1.5,0.7,1.0,0.4,7.0,7.0,14.0,0.5744652902074687,8875.47217550868,9748.957353360525,11714.882324828437,0.03354042635138433,2.5538562261197177,1.7356140872805301,10602.0
49,2.0,1.0,1.0,0.4,4.0,7.0,14.0,0.5759095749023172,12161.978470056283,9589.527199359778,11634.306061002906,0.08535357265766925,2.452835740374612,1.6569236495484756,12679.666666666666
2,1.5,0.7,1.0,0.4,5.5,7.0,14.0,0.5837037640147935,9369.294661372274,9758.721287610137,11688.986677711566,0.037760047516975724,2.543513075077589,1.7356123707706954,10882.666666666666
15,1.5,1.0,1.0,0.4,7.0,7.0,14.0,0.5847205754539418,8907.93633818044,9829.912533979126,11745.563438284073,0.03021140579069505,2.5618710400061375,1.7486998154699187,10611.0
42,2.0,0.7,1.5,0.4,7.0,7.0,14.0,0.5885961192945557,8929.107095632993,9820.841879726597,11733.660878166847,0.028325645102049324,2.5647426439342604,1.7496771433996117,10609.0
27,1.5,1.3,1.0,0.4,7.0,7.0,14.0,0.5908513246942649,8911.087049037205,9886.449112708333,11737.733433865846,0.02743253341876219,2.567192253188642,1.7507870827015746,10619.333333333334
54,2.0,1.0,1.5,0.4,7.0,7.0,14.0,0.5957607514149754,8913.668097426189,9896.539798463724,11628.209836975278,0.024937584756975203,2.5738114794313165,1.748897751742682,10596.666666666666
14,1.5,1.0,1.0,0.4,5.5,7.0,14.0,0.5961472636615971,9426.333004931634,9829.886932537367,11784.838826479101,0.03184664600901755,2.5594474082813554,1.7398855832836555,10887.0
41,2.0,0.7,1.5,0.4,5.5,7.0,14.0,0.5966148975425059,9441.532262123512,9813.05094405541,11724.978010909052,0.03214762493488163,2.560181000627641,1.7410281814781516,10884.333333333334
26,1.5,1.3,1.0,0.4,5.5,7.0,14.0,0.6019367931572318,9479.264621722794,9823.803042280892,11770.771622895656,0.02932084106274575,2.5682868450844603,1.7406207881665077,10896.666666666666
53,2.0,1.0,1.5,0.4,5.5,7.0,14.0,0.6055996506195763,9500.902279897935,9894.573765480849,11729.037263211156,0.028918540391014453,2.5687924053414526,1.7435355590758117,10923.666666666666
45,2.0,0.7,2.0,0.4,7.0,7.0,14.0,0.6216221677126864,8975.291155764973,10036.934177095509,11869.24631855111,0.013048851775964052,2.6135639037720906,1.7731634031028605,10615.0
57,2.0,1.0,2.0,0.4,7.0,7.0,14.0,0.625912692154225,8955.329109027909,10056.658239334052,11754.611570435285,0.010902641169102336,2.618461490547617,1.7731532035924402,10594.666666666666
18,1.5,1.0,1.5,0.4,7.0,7.0,14.0,0.6281551994163689,9040.665360545201,10039.81924365465,11875.657675993387,0.010373363655391982,2.621288836373196,1.7743990681986368,10624.0
6,1.5,0.7,1.5,0.4,7.0,7.0,14.0,0.6291352847694226,9018.822750527821,10042.582864937449,11693.636751908818,0.010884221005047762,2.6221108978560466,1.7777934260134118,10602.0
30,1.5,1.3,1.5,0.4,7.0,7.0,14.0,0.6311413816385452,8962.627496427493,10067.43507334801,11737.252162730896,0.009506054705932876,2.622244606607745,1.7847421690772227,10583.666666666666
48,2.0,0.7,2.5,0.4,7.0,7.0,14.0,0.6388146058134234,9043.973961765309,10127.574381649409,11939.824657912774,0.006397792065275336,2.6400186880419674,1.791155093742096,10620.0
60,2.0,1.0,2.5,0.4,7.0,7.0,14.0,0.6394385232790094,9044.951920989728,10122.49369387867,11863.95255273341,0.00633396554189396,2.6407086311365724,1.7904713968846737,10617.0
9,1.5,0.7,2.0,0.4,7.0,7.0,14.0,0.6402642210860975,9028.447594631101,10138.792369285316,11792.53239644573,0.005953769140197985,2.6447310212073845,1.7896493016926591,10615.0
21,1.5,1.0,2.0,0.4,7.0,7.0,14.0,0.6404336470148088,9058.741226343911,10116.719740947901,11889.321566430297,0.005587427851207202,2.6448599757901814,1.7894944101446733,10620.666666666666
12,1.5,0.7,2.5,0.4,7.0,7.0,14.0,0.6408420305082251,9039.081686479049,10099.471793719522,11796.914762981114,0.0050009012450529826,2.6562939280458293,1.7885479329384077,10592.666666666666
36,1.5,1.3,2.5,0.4,7.0,7.0,14.0,0.641031482818907,9055.91572561204,10118.20414827601,11909.616160654086,0.005170846388140341,2.6561353821099347,1.791891725717836,10624.666666666666
44,2.0,0.7,2.0,0.4,5.5,7.0,14.0,0.6410554600168572,9545.677235498059,10068.137595244954,11755.336992447053,0.013784348512764959,2.611963299887374,1.7778684342799629,10908.0
33,1.5,1.3,2.0,0.4,7.0,7.0,14.0,0.6415076146566795,9085.467144023734,10095.244641159099,11791.728688966761,0.0059459251366918335,2.6470294092385207,1.7911095431524384,10614.0
1,1.5,0.7,1.0,0.4,4.0,7.0,14.0,0.64221888150254,12502.158822511856,9766.622416880824,11648.917237512273,0.057550995952524116,2.5125046471693486,1.6949096470652758,12664.333333333334
24,1.5,1.0,2.5,0.4,7.0,7.0,14.0,0.6435877569505069,9102.461314856022,10079.881426440576,11742.63267275517,0.0050392596532269265,2.6589973022130504,1.7920406617531668,10618.666666666666
5,1.5,0.7,1.5,0.4,5.5,7.0,14.0,0.6455286101317493,9553.684317583271,10100.176272973511,11655.863725064488,0.011911650175133829,2.6200918747973474,1.7767815995533194,10901.0
56,2.0,1.0,2.0,0.4,5.5,7.0,14.0,0.6457683603663905,9560.67124878399,10090.682892964649,11688.502975121051,0.012138074989563053,2.6197670102038613,1.7810225795520844,10910.666666666666
17,1.5,1.0,1.5,0.4,5.5,7.0,14.0,0.646042865955348,9596.708561039173,10039.643809130308,11758.11240207185,0.011359507637411647,2.6250274019907445,1.7792361029909858,10894.333333333334
29,1.5,1.3,1.5,0.4,5.5,7.0,14.0,0.6481621952130209,9587.597547602285,10072.296845785148,11796.121477787898,0.011361948214628735,2.6230236444233905,1.789403574515271,10912.0
47,2.0,0.7,2.5,0.4,5.5,7.0,14.0,0.6571105654088639,9624.244063645683,10134.414402838584,11909.6683906323,0.007413136848827377,2.6427966429789738,1.797880248523702,10924.666666666666
59,2.0,1.0,2.5,0.4,5.5,7.0,14.0,0.658098062973147,9630.42379082108,10105.626709998787,11757.083250175645,0.007161456973830496,2.6442272008840226,1.7952568030719291,10908.666666666666
32,1.5,1.3,2.0,0.4,5.5,7.0,14.0,0.6612123454622502,9653.326578555936,10119.882401154131,11873.974874973044,0.005760730265051971,2.6472942407053304,1.8002142791278104,10909.666666666666
23,1.5,1.0,2.5,0.4,5.5,7.0,14.0,0.6619370149417998,9636.050646808771,10153.498620675608,11856.542417628772,0.0050013101804794935,2.662292961418912,1.7985592348158594,10919.333333333334
20,1.5,1.0,2.0,0.4,5.5,7.0,14.0,0.6622088165361704,9642.893577573072,10112.277847981193,11774.7412574891,0.005406632482244562,2.6480524947734874,1.799853815619769,10903.333333333334
8,1.5,0.7,2.0,0.4,5.5,7.0,14.0,0.6623037941577489,9624.962019270419,10123.566193068327,11827.891572035362,0.004554833300325078,2.647244708245723,1.7975843498030049,10893.0
11,1.5,0.7,2.5,0.4,5.5,7.0,14.0,0.6626017640320326,9654.728653830649,10100.373503072158,11768.68527176132,0.005059998075280888,2.659730591439344,1.7996219376912286,10896.333333333334
35,1.5,1.3,2.5,0.4,5.5,7.0,14.0,0.6626710815155814,9679.61621948538,10119.103062755885,11884.262615035374,0.004549944841682875,2.660789448299593,1.7960429713769634,10905.666666666666
13,1.5,1.0,1.0,0.4,4.0,7.0,14.0,0.6643236200652095,12649.929048341985,9847.228992782915,11687.571434921023,0.049628198797615986,2.5291211533743416,1.712352853865048,12688.333333333334
40,2.0,0.7,1.5,0.4,4.0,7.0,14.0,0.6670422009646595,12692.414419757675,9798.48979474772,11633.227231074254,0.048646832701447866,2.5335159859286795,1.7135410592436993,12668.666666666666
52,2.0,1.0,1.5,0.4,4.0,7.0,14.0,0.6797490739933109,12784.758204599077,9866.407400095572,11795.33007214537,0.042578127383469756,2.5528956152377407,1.7164054897219783,12692.0
25,1.5,1.3,1.0,0.4,4.0,7.0,14.0,0.6825839810601059,12788.293040396607,9846.610932460402,11765.452246172068,0.041151922641717686,2.5509850634738442,1.7181505802940198,12663.0
43,2.0,0.7,2.0,0.4,4.0,7.0,14.0,0.7387159580621767,12999.933171760713,10055.710475765483,11768.737048677738,0.02082890615438736,2.605900864400073,1.7824673250873282,12679.0
4,1.5,0.7,1.5,0.4,4.0,7.0,14.0,0.7459116015204602,13026.234533562572,10075.488520739631,11791.045888228013,0.018261066887810554,2.614274512504951,1.7929816974236716,12684.333333333334
55,2.0,1.0,2.0,0.4,4.0,7.0,14.0,0.7496805500521097,13037.637664070475,10105.579269762338,11756.5113425398,0.017366735107800273,2.6181405927028716,1.7984491777224891,12692.666666666666
16,1.5,1.0,1.5,0.4,4.0,7.0,14.0,0.751352907240121,13087.301499092653,10046.921330224202,11735.97898966552,0.01656436915007015,2.6219519209724313,1.7973534228018098,12665.666666666666
28,1.5,1.3,1.5,0.4,4.0,7.0,14.0,0.75811694971993,13100.602368518797,10078.691143142109,11762.656439739578,0.014846867322819141,2.62298937420336,1.812652767332126,12684.0
46,2.0,0.7,2.5,0.4,4.0,7.0,14.0,0.7734495401626179,13176.461672472506,10160.554103553755,11872.323233310492,0.008814319580648012,2.6518428313750793,1.8285443636921606,12697.333333333334
58,2.0,1.0,2.5,0.4,4.0,7.0,14.0,0.7748067780389346,13183.808113784713,10164.767099126955,11781.75673102369,0.008952342377159977,2.6466527642812454,1.8296765113682856,12692.333333333334
31,1.5,1.3,2.0,0.4,4.0,7.0,14.0,0.7788598482435907,13222.041721356327,10113.276671089918,11735.755919268251,0.006804672472928823,2.662361995360208,1.830835137262378,12667.333333333334
19,1.5,1.0,2.0,0.4,4.0,7.0,14.0,0.7800830208360058,13227.18023649363,10108.919258146418,11672.274060979631,0.0062591929712788145,2.6605198866032325,1.8287036904009863,12664.333333333334
22,1.5,1.0,2.5,0.4,4.0,7.0,14.0,0.7804450490393636,13247.22492262542,10107.589085051295,11943.572595007865,0.004617513443109303,2.6745461381594056,1.8291713542181112,12676.0
34,1.5,1.3,2.5,0.4,4.0,7.0,14.0,0.7809792219160997,13277.72416413231,10135.68175436111,11862.762668711335,0.005434364290266225,2.673601663006254,1.827231660464556,12696.0
7,1.5,0.7,2.0,0.4,4.0,7.0,14.0,0.7810203646044838,13235.76573850572,10138.468383435007,11758.057186666243,0.005775922599284421,2.660617433445635,1.829465052003858,12671.0
10,1.5,0.7,2.5,0.4,4.0,7.0,14.0,0.7820668907814937,13257.358164582562,10138.062887767084,11803.978664884839,0.004908862406192874,2.675320032447352,1.8285900880689958,12687.333333333334
