config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,avg_dist_car,avg_dist_nocar,total_trips
1,1.5,0.7,1.0,0.4,4.0,7.0,14.0,0.6965076171857945,13163.754225323773,9344.768907477086,13975.334626474902,0.044444444444444446,2.7048766707064402,1.9252379819879255,855
2,1.5,0.7,1.0,0.4,5.5,7.0,14.0,0.6281739800309127,9655.940385159663,9361.593475732578,13365.819141277178,0.03155006858710562,2.7399491490508305,1.9983946063647462,729
3,1.5,0.7,1.0,0.4,7.0,7.0,14.0,0.6090631753087755,9223.175970818571,9135.796079820293,13286.835909079153,0.032624113475177303,2.7422101598853126,1.9972550564682823,705
4,1.5,0.7,1.5,0.4,4.0,7.0,14.0,0.7567334259101651,13630.663603031722,9496.281189752694,14601.220973977339,0.015186915887850467,2.7942631319147884,1.9385399594213757,856
5,1.5,0.7,1.5,0.4,5.5,7.0,14.0,0.6551641799651913,9834.875041800624,8994.548634322042,14313.421575588869,0.006963788300835654,2.798310956188319,1.9888358521843845,718
6,1.5,0.7,1.5,0.4,7.0,7.0,14.0,0.6558781381417549,9604.705652480081,8798.733655401174,13802.067290945666,0.008695652173913044,2.8084448306253966,2.0008385011499557,690
7,1.5,0.7,2.0,0.4,4.0,7.0,14.0,0.8032393913084448,13764.563914903852,9200.89427052486,13904.352542283585,0.0035419126328217238,2.774622804672091,2.0390542449206412,847
8,1.5,0.7,2.0,0.4,5.5,7.0,14.0,0.7028286608521731,10412.363560388085,9265.76028664019,13540.635081943183,0.00554016620498615,2.807726545845182,2.0609083956518597,722
9,1.5,0.7,2.0,0.4,7.0,7.0,14.0,0.6736549104228046,9237.035033765022,9141.56679348169,14095.303489858332,0.0028694404591104736,2.82046001644488,2.115877198682195,697
10,1.5,0.7,2.5,0.4,4.0,7.0,14.0,0.8148980569479983,13932.381807723763,9118.33978132556,13591.478563885645,0.0035629453681710215,2.8198464800107783,2.0689283197132204,842
11,1.5,0.7,2.5,0.4,5.5,7.0,14.0,0.7116494373709084,10471.272526481634,8970.361147674394,13704.491349649554,0.0028169014084507044,2.821928772914102,2.103298429865689,710
12,1.5,0.7,2.5,0.4,7.0,7.0,14.0,0.6950390161759049,9787.107273092524,8985.8196647738,13999.880374870627,0.001445086705202312,2.8563113337661163,2.1360506622570137,692
13,1.5,1.0,1.0,0.4,4.0,7.0,14.0,0.7607456844811389,14146.175756449664,9392.486028856307,13656.616700583803,0.02237926972909305,2.758133831837791,1.8971374181940335,849
14,1.5,1.0,1.0,0.4,5.5,7.0,14.0,0.6740586238582806,9859.728186581522,9374.686205922957,13070.75899938661,0.012517385257301807,2.780754596294901,2.0263993754609113,719
15,1.5,1.0,1.0,0.4,7.0,7.0,14.0,0.653878602033983,9397.289987470407,9526.998982588118,12868.406333822286,0.014144271570014143,2.8114181959610645,1.9936714759018181,707
16,1.5,1.0,1.5,0.4,4.0,7.0,14.0,0.7757640235968313,14204.208344712573,9529.303050788069,13786.690373932208,0.01645123384253819,2.7956699181818743,1.912363421921184,851
17,1.5,1.0,1.5,0.4,5.5,7.0,14.0,0.6847080627031721,10439.371979113737,9294.807152795265,13665.173813492147,0.008333333333333333,2.8176269114227845,1.9968911595862455,720
18,1.5,1.0,1.5,0.4,7.0,7.0,14.0,0.6592468224344628,9415.863618561747,9101.394831948352,13946.663790250148,0.007173601147776184,2.822312099457133,2.050999282835223,697
19,1.5,1.0,2.0,0.4,4.0,7.0,14.0,0.795532442073544,13738.381882623122,9197.576448115107,13852.692179903886,0.008225616921269096,2.809162698690208,2.0462806400181184,851
20,1.5,1.0,2.0,0.4,5.5,7.0,14.0,0.7001570418944053,10459.419882276145,8984.578388755526,13805.28239125754,0.00554016620498615,2.8183301185473546,2.077202897443577,722
21,1.5,1.0,2.0,0.4,7.0,7.0,14.0,0.6903808644652795,9881.245516780184,9173.821159317502,13519.259566637395,0.004291845493562232,2.8179732481696007,2.0799714434909617,699
22,1.5,1.0,2.5,0.4,4.0,7.0,14.0,0.82324433438749,14298.019525388108,9295.78774008774,13952.726517980225,0.0035629453681710215,2.8132924830726855,2.054090319085305,842
23,1.5,1.0,2.5,0.4,5.5,7.0,14.0,0.6989760737939777,10168.840780824405,9220.220354671917,13260.703259551194,0.006925207756232687,2.831307676079306,2.084497930201446,722
24,1.5,1.0,2.5,0.4,7.0,7.0,14.0,0.6740077410504863,9337.792960217408,9237.142260155095,13861.026111307381,0.0014347202295552368,2.827477385496394,2.072366346684446,697
25,1.5,1.3,1.0,0.4,4.0,7.0,14.0,0.7493016931548819,13604.44545949744,9245.060178863874,13503.463490271237,0.019002375296912115,2.766169777852372,1.9040070176213282,842
26,1.5,1.3,1.0,0.4,5.5,7.0,14.0,0.6542506299280988,9923.045627308295,9365.776119035896,12981.382903781603,0.022130013831258646,2.7911388637510854,1.9967342242359543,723
27,1.5,1.3,1.0,0.4,7.0,7.0,14.0,0.6690742340888219,9651.420171302634,9393.04487326615,13098.704648968356,0.014326647564469915,2.7852251129354397,2.0487129753970614,698
28,1.5,1.3,1.5,0.4,4.0,7.0,14.0,0.7532443912781653,13749.06972734228,9117.32795273845,14004.898875788796,0.01652892561983471,2.7983895733858937,1.9208680559386373,847
29,1.5,1.3,1.5,0.4,5.5,7.0,14.0,0.6716164563360177,9935.881024373299,9148.567540967035,13846.322028974018,0.006934812760055479,2.832119466456782,2.022455982632324,721
30,1.5,1.3,1.5,0.4,7.0,7.0,14.0,0.6759631088744503,10060.02265604059,9581.086011273032,13733.627159555515,0.01,2.8308076873400814,2.0051662820006775,700
31,1.5,1.3,2.0,0.4,4.0,7.0,14.0,0.8316989153657959,14430.080562605837,9176.193821471039,13593.767206296408,0.003579952267303103,2.8046556396584035,2.067379154374873,838
32,1.5,1.3,2.0,0.4,5.5,7.0,14.0,0.6927861222294786,9924.491610589497,8956.91420846487,13945.773629505118,0.004207573632538569,2.8038421800262157,2.1139882411753,713
33,1.5,1.3,2.0,0.4,7.0,7.0,14.0,0.6744404010064482,9382.610473743294,9350.911770716895,13743.760456963806,0.004347826086956522,2.8067720911036855,2.072393925314208,690
34,1.5,1.3,2.5,0.4,4.0,7.0,14.0,0.8174344017802732,14364.066760311207,9055.768625583984,14556.64543547899,0.002369668246445498,2.8173392888300572,2.0570198929193815,844
35,1.5,1.3,2.5,0.4,5.5,7.0,14.0,0.7127789757103834,10406.087655925292,9079.177359690082,13884.810759444796,0.0014044943820224719,2.8365122363459894,2.1134257317545773,712
36,1.5,1.3,2.5,0.4,7.0,7.0,14.0,0.6851542613024395,9669.315628380435,9260.776802964128,14279.058727885324,0.0014347202295552368,2.851139073823258,2.0967800025081913,697
37,2.0,0.7,1.0,0.4,4.0,7.0,14.0,0.6207644675702669,13367.291052435145,8967.263335682526,13275.389040942266,0.0931899641577061,2.5624574187136657,1.8953644577728026,837
38,2.0,0.7,1.0,0.4,5.5,7.0,14.0,0.6005834560872728,10180.44317141027,9397.419526184463,13240.99770063864,0.0644718792866941,2.6494832586166313,2.028182158546,729
39,2.0,0.7,1.0,0.4,7.0,7.0,14.0,0.5825630542931485,9037.77503150386,9109.269490189483,13014.368579683125,0.05270655270655271,2.6572887747511773,2.0361033375469884,702
40,2.0,0.7,1.5,0.4,4.0,7.0,14.0,0.7443931179981295,13608.91745963447,9173.583916935608,13546.978787898426,0.02127659574468085,2.777201998265313,1.9079418572666238,846
41,2.0,0.7,1.5,0.4,5.5,7.0,14.0,0.6574240068672058,9960.059460284716,9133.102977840721,13235.630825443597,0.018005540166204988,2.76996764495654,2.0030058558119666,722
42,2.0,0.7,1.5,0.4,7.0,7.0,14.0,0.6807694324075921,10200.441969084955,9251.619405087287,13147.867968322293,0.01293103448275862,2.7764352024709007,2.0244428271155455,696
43,2.0,0.7,2.0,0.4,4.0,7.0,14.0,0.7509161469723642,13628.298732463749,9117.771358726703,14284.600891215787,0.015366430260047281,2.795211796696909,1.9312911703458515,846
44,2.0,0.7,2.0,0.4,5.5,7.0,14.0,0.6751817136957406,9984.812393011996,9352.061038457945,13936.426970538067,0.008241758241758242,2.811710296470391,2.0258752407920526,728
45,2.0,0.7,2.0,0.4,7.0,7.0,14.0,0.6592460428558709,9452.952577785607,9366.928783101586,14333.959775999241,0.007194244604316547,2.8111884286154725,2.038595934774758,695
