phase1_config_num,phase1_error,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,full_error,error_improvement,avg_spend_low_mean,avg_spend_med_mean,avg_spend_high_mean,corner_share_mean,food_insecurity_share_mean,avg_dist_car_mean,avg_dist_nocar_mean,total_trips_mean,avg_spend_low_std,avg_spend_med_std,avg_spend_high_std,corner_share_std,food_insecurity_share_std,avg_dist_car_std,avg_dist_nocar_std,total_trips_std
1084,0.0856400487583056,2.0,0.9,0.6,0.4,4.0,6.0,14.0,0.10184239082873223,-0.01620234207042663,3469.616642989531,4168.936905174991,11284.246212538788,0.38771502230444593,0.38239999999999996,2.5592772130533374,0.48937663277831145,33783.2,55.071349600582934,94.20520732500835,732.0052036077244,0.018518228032468134,0.018736061485808593,0.04070713575450897,0.04530973107756558,558.3355263638523
2164,0.0861473167901607,3.0,1.3,0.6,0.4,4.0,6.0,14.0,0.09614023713023198,-0.009992920340071279,3482.220072005043,4171.761983070621,11331.66381134467,0.39408544306000826,0.38120000000000004,2.523192512362719,0.48765879728512107,33783.0,52.07233278574214,90.09168346172373,701.4871117258256,0.018776344488010625,0.016029971927611117,0.0376834060049524,0.04669649692474566,528.4259645399723
1354,0.0865583797123448,2.5,0.5,0.6,0.4,4.0,6.0,14.0,0.09736791631488376,-0.010809536602538958,3473.3200350182733,4173.434141859275,11281.958841919783,0.3974628044656624,0.3848,2.532484664931849,0.48516419935746014,33800.0,59.399167101728935,82.19528761640953,704.252635434169,0.019716644174347302,0.01822525719983123,0.03821310338958251,0.045059756977280895,516.3227672686921
1355,0.0889510607095812,2.5,0.5,0.6,0.4,4.0,7.0,14.0,0.10203036751882469,-0.01307930680924349,3469.4026469450487,4109.808820044302,11271.301904185397,0.39375710171465206,0.3832,2.542908105825371,0.4878168798949658,33294.2,58.889483274483716,93.62593265254601,774.1634559204564,0.019240084302462827,0.014998666607402133,0.0394477203268388,0.04606133242222525,545.9869595512332
1624,0.0901155994012229,2.5,1.1,0.6,0.4,4.0,6.0,14.0,0.09766912369923622,-0.007553524298013314,3480.213977092033,4167.905740892464,11271.009618385262,0.3936181408341587,0.38239999999999996,2.5388694931335336,0.48774023045338116,33789.8,56.727692920028524,80.4802988041075,754.5484024233979,0.017838315653940878,0.01961224107541002,0.03980616699234467,0.04672378122050403,572.6609468088426
995,0.090478089441995,2.0,0.7,0.6,0.4,4.0,7.0,14.0,0.10647919875227085,-0.01600110931027586,3475.387884608037,4099.223754390736,11334.951313269288,0.3855383294043291,0.38239999999999996,2.565851466223588,0.49005321457098167,33274.2,48.728274565909494,87.3733034041952,742.2381801809432,0.019283461034147444,0.015252540771950108,0.039216240622520625,0.04405796448366837,519.5133877004519
1819,0.0906630834676092,3.0,0.5,1.0,0.4,4.0,6.0,14.0,0.09909942760117771,-0.008436344133568502,3473.149162664066,4190.981315253897,11555.924186535602,0.38586850965852565,0.3792,2.5255790231102235,0.4874903183699086,33824.8,59.307236037114706,104.2664336985032,676.0734443593872,0.019144379809493368,0.014675149062275326,0.0353744476451585,0.046407605897148645,539.0337280727431
1804,0.0908288020686789,3.0,0.5,0.6,0.4,4.0,6.0,14.0,0.09455530215047925,-0.003726500081800352,3475.5888354514054,4179.8985978763085,11366.470986396405,0.39931344254862894,0.3832,2.5173174639806506,0.4870897701855553,33807.4,60.678089170948255,88.32202054408563,713.3345037952256,0.018846371312189913,0.016857046004564398,0.036657404046114,0.04601502870959846,561.1618661313329
2076,0.0910756803765386,3.0,1.1,0.6,0.4,4.0,8.0,14.0,0.10417430916433104,-0.013098628787792443,3486.6079129771315,4041.0350142204675,11355.182229291038,0.3908248778553093,0.3804,2.53317102063386,0.48832827500254117,33112.2,55.42247206248437,72.24181922706964,730.0800930638653,0.018980937942234436,0.014164744967700631,0.036623615744368246,0.04617009947283962,534.8545222768524
2179,0.0913256178284095,3.0,1.3,1.0,0.4,4.0,6.0,14.0,0.10263863412365944,-0.01131301629524993,3479.3897403254423,4184.164161371027,11581.544887802831,0.37931934301828635,0.3787999999999999,2.5322805300268896,0.4887048999429144,33798.0,49.68081774462188,94.5476162779253,645.0451775006504,0.0188219426700984,0.016666133324799742,0.03642615210283952,0.04559874349711815,542.9294613483413
