config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,avg_dist_car,avg_dist_nocar,total_trips
39,2.0,0.7,1.0,0.4,7.0,7.0,14.0,0.5330500086391029,8718.23258374911,9578.083953908876,11654.653603976762,0.053290176144558665,2.5129584554713538,1.725064927307125,10591.333333333334
38,2.0,0.7,1.0,0.4,5.5,7.0,14.0,0.5350953966889644,9186.794185006853,9566.618878177413,11737.074486290328,0.058346829000161554,2.498403645404117,1.7074282223738477,10888.666666666666
50,2.0,1.0,1.0,0.4,5.5,7.0,14.0,0.5440914188249012,9263.12210299935,9581.104151842897,11726.810962758069,0.05576162305680876,2.5060717752788597,1.7177311638117352,10897.333333333334
37,2.0,0.7,1.0,0.4,4.0,7.0,14.0,0.5614685419684265,12050.225511159508,9568.625984191392,11630.685247993259,0.09113403538933397,2.44251639628193,1.6509320670523995,12670.666666666666
49,2.0,1.0,1.0,0.4,4.0,7.0,14.0,0.5750137003067536,12157.942375428755,9612.114592339718,11709.330445021546,0.08521237719948853,2.4523564621002185,1.6535574323130335,12684.333333333334
3,1.5,0.7,1.0,0.4,7.0,7.0,14.0,0.5761419873511261,8874.318065758483,9805.584929407241,11682.888494567944,0.0341290526485331,2.5542251010567676,1.742058991284645,10630.0
2,1.5,0.7,1.0,0.4,5.5,7.0,14.0,0.586003225909334,9401.07955130151,9780.914475685497,11722.93702678933,0.03709444535465028,2.549170628521612,1.7369604089089508,10913.666666666666
15,1.5,1.0,1.0,0.4,7.0,7.0,14.0,0.5872794994345275,8925.623428199318,9821.185557571645,11680.379412242546,0.029060164986009274,2.563516708115799,1.747046317804464,10597.666666666666
42,2.0,0.7,1.5,0.4,7.0,7.0,14.0,0.5884381059679723,8915.02178987834,9856.020836248057,11688.729336579303,0.028650509514981715,2.566362647010026,1.7486336637898534,10608.333333333334
27,1.5,1.3,1.0,0.4,7.0,7.0,14.0,0.5908000870152706,8937.837315006009,9847.66736416628,11693.579104513543,0.027484441038943114,2.5732545556358226,1.7491540857593202,10609.666666666666
41,2.0,0.7,1.5,0.4,5.5,7.0,14.0,0.5980251532381763,9437.468207190084,9865.599046186731,11735.40680879906,0.03182066771981184,2.5602824628096577,1.7416295124962016,10909.333333333334
14,1.5,1.0,1.0,0.4,5.5,7.0,14.0,0.598511112893123,9428.663460165404,9858.425978254076,11692.779302727247,0.03230342919313261,2.559486139558405,1.7476710743335921,10901.0
26,1.5,1.3,1.0,0.4,5.5,7.0,14.0,0.6035245060348524,9510.904151073531,9844.46131493587,11718.036989079197,0.029614963340670892,2.5648016983993887,1.741003211360093,10917.666666666666
45,2.0,0.7,2.0,0.4,7.0,7.0,14.0,0.623590927592108,8970.22423840919,10053.287963868395,11811.64021958922,0.011989394796801014,2.6160497249834758,1.7710931845401392,10613.0
6,1.5,0.7,1.5,0.4,7.0,7.0,14.0,0.625813968644973,8993.141358009612,10043.565914233075,11756.354263557187,0.011415242093669264,2.6241180834894022,1.7731264848895656,10596.333333333334
18,1.5,1.0,1.5,0.4,7.0,7.0,14.0,0.6287135587619113,8994.002594855176,10063.963199927364,11834.283714309482,0.010051426367636838,2.6200586180228416,1.7772782461990875,10600.0
30,1.5,1.3,1.5,0.4,7.0,7.0,14.0,0.6306912032817459,9001.644171222799,10021.459407130436,11780.2739171063,0.009199608797952539,2.6226880257191874,1.780415060918112,10593.0
