config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,avg_dist_car,avg_dist_nocar,total_trips
39,2.0,0.7,1.0,0.4,7.0,7.0,14.0,0.5359448970701518,8718.640702681714,9601.917664886694,11651.938665214899,0.05178214547571423,2.5142708643836094,1.7247757166441129,10604.0
38,2.0,0.7,1.0,0.4,5.5,7.0,14.0,0.5367805592318229,9194.962037523612,9623.733839624607,11706.049194582469,0.05870958358234029,2.5012588758715486,1.7110571467156166,10897.666666666666
50,2.0,1.0,1.0,0.4,5.5,7.0,14.0,0.5430867253817312,9270.993770432879,9621.690749956184,11691.05372185271,0.05625941117885439,2.5026388509327213,1.7099219549810343,10927.0
37,2.0,0.7,1.0,0.4,4.0,7.0,14.0,0.5615614727900403,12046.437381083917,9560.84004128578,11675.555918193888,0.09068609444389321,2.4465142622504037,1.6517411691258086,12671.666666666666
3,1.5,0.7,1.0,0.4,7.0,7.0,14.0,0.5759900606301397,8855.813626412128,9778.940312133349,11651.698535951726,0.034050122257295194,2.549784361314386,1.7437576790883782,10598.333333333334
49,2.0,1.0,1.0,0.4,4.0,7.0,14.0,0.5762396063499874,12151.755620008684,9613.644431008555,11604.64582234229,0.08518451206659228,2.4541030709356084,1.655339904835668,12674.0
2,1.5,0.7,1.0,0.4,5.5,7.0,14.0,0.5855140092656395,9406.270908523027,9780.44349058088,11738.253909985002,0.03711421492004462,2.5478876627538827,1.7345661034743285,10901.666666666666
15,1.5,1.0,1.0,0.4,7.0,7.0,14.0,0.5867198181415941,8901.600234980942,9819.056280668763,11651.00579572803,0.02931652252719513,2.5607459990708903,1.7484480159446691,10584.333333333334
42,2.0,0.7,1.5,0.4,7.0,7.0,14.0,0.5868783483439541,8899.122929927393,9846.880956750369,11772.146361743771,0.028459440797291246,2.563956860803063,1.746412362426006,10620.0
27,1.5,1.3,1.0,0.4,7.0,7.0,14.0,0.5910224669849776,8942.717554523535,9867.06515818597,11645.204191274475,0.027499374119744128,2.5739716339687617,1.745706059232323,10611.333333333334
14,1.5,1.0,1.0,0.4,5.5,7.0,14.0,0.5945302529600535,9424.349777552516,9844.109487504496,11770.968170443899,0.033474484945853804,2.5564734820690553,1.7431041880224853,10914.333333333334
41,2.0,0.7,1.5,0.4,5.5,7.0,14.0,0.5967692363978463,9415.810027686492,9890.007858371231,11714.970897877653,0.03238554922445016,2.5597769677257634,1.7401857471667732,10917.666666666666
26,1.5,1.3,1.0,0.4,5.5,7.0,14.0,0.6036554993277828,9497.913165641145,9846.747062948723,11680.857465930514,0.02953944114132827,2.5715374626513747,1.7419981548490036,10905.666666666666
45,2.0,0.7,2.0,0.4,7.0,7.0,14.0,0.6245420102433054,9015.87840671438,10030.408813366523,11648.13675935955,0.012497881928815319,2.6153660714351887,1.7670768400989472,10599.333333333334
6,1.5,0.7,1.5,0.4,7.0,7.0,14.0,0.6281191429381577,8997.630319525057,10065.920314097551,11656.648287675884,0.01145863423742989,2.618510608448673,1.7763807079977487,10611.0
18,1.5,1.0,1.5,0.4,7.0,7.0,14.0,0.6291153586853157,8992.451494867806,10111.618810172788,11749.546184666804,0.010338813937552807,2.6197154993918916,1.7734673950456472,10618.666666666666
30,1.5,1.3,1.5,0.4,7.0,7.0,14.0,0.630003953302565,9004.203121036822,10054.171987942895,11772.707684924433,0.010074821830754076,2.623379650602161,1.780566669313328,10605.666666666666
48,2.0,0.7,2.5,0.4,7.0,7.0,14.0,0.6393468699205817,9053.822336516174,10142.564506359067,11843.23080513175,0.006550726832221478,2.6411378792592806,1.7877287283176393,10632.0
21,1.5,1.0,2.0,0.4,7.0,7.0,14.0,0.6396748796159304,9039.665280008861,10102.075923277574,11971.537385532514,0.005123829130966525,2.64387447116516,1.7900527910234374,10620.666666666666
33,1.5,1.3,2.0,0.4,7.0,7.0,14.0,0.640312730456373,9035.54135747539,10128.290856666075,11916.290764924952,0.00582578779448802,2.640886911820344,1.7939957717756265,10629.0
44,2.0,0.7,2.0,0.4,5.5,7.0,14.0,0.6413019158054061,9549.47470211747,10050.851408911241,11738.352928960861,0.013360026200908494,2.609792015331889,1.7755107574035505,10899.333333333334
9,1.5,0.7,2.0,0.4,7.0,7.0,14.0,0.6415611500176441,9054.75522316251,10096.936171575207,11862.440093209922,0.004864752144685837,2.6451786173372707,1.7902657289800008,10598.0
12,1.5,0.7,2.5,0.4,7.0,7.0,14.0,0.6419226279935617,9017.884762727097,10140.544082544506,11752.734468696295,0.004932260954538899,2.653983033173319,1.7903251435756495,10594.0
1,1.5,0.7,1.0,0.4,4.0,7.0,14.0,0.6419879267602546,12546.37498016659,9788.417115745151,11734.903208770207,0.058213828254524584,2.514535856601747,1.6948288505715923,12694.0
36,1.5,1.3,2.5,0.4,7.0,7.0,14.0,0.642628275662045,9047.229271344413,10100.93632099318,11762.766370036557,0.004638720337411586,2.657883550104394,1.7914845637510062,10586.666666666666
24,1.5,1.0,2.5,0.4,7.0,7.0,14.0,0.6430665740213263,9093.122400529859,10112.064573382982,11789.932492982807,0.005047375650293637,2.6559115866508183,1.7899378923266094,10620.333333333334
5,1.5,0.7,1.5,0.4,5.5,7.0,14.0,0.6447542251642984,9559.729033707306,10098.973594073863,11825.061781850052,0.012021098068083776,2.6192650488033222,1.780978773159892,10920.333333333334
17,1.5,1.0,1.5,0.4,5.5,7.0,14.0,0.6467824224774424,9588.364314346001,10069.30812292709,11749.95346307254,0.011511056443142076,2.6201969759124286,1.7815470348457676,10901.333333333334
29,1.5,1.3,1.5,0.4,5.5,7.0,14.0,0.6472185044580289,9571.051935502546,10049.432751720673,11876.168646296812,0.010644437388974594,2.62037856159643,1.7870526436875085,10890.666666666666
32,1.5,1.3,2.0,0.4,5.5,7.0,14.0,0.6595201418919127,9642.84525338888,10093.35963755811,11900.67239268207,0.005637518627832124,2.649972762239996,1.7966846744044804,10901.666666666666
47,2.0,0.7,2.5,0.4,5.5,7.0,14.0,0.6595712112850124,9618.193714536164,10119.457010563294,11725.434885333918,0.006977572139943536,2.642436892337807,1.799728432318336,10892.0
20,1.5,1.0,2.0,0.4,5.5,7.0,14.0,0.6598589720663415,9610.887047830876,10106.288987885851,11803.631523956363,0.005917032700635832,2.64907060587846,1.7995262677269839,10885.0
