config_num,alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,error,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,avg_dist_car,avg_dist_nocar,total_trips
3,1.5,0.7,1.0,0.4,7.0,7.0,14.0,0.5759153898587136,8850.132729297691,9770.92968178735,11708.916255338016,0.03345972139779014,2.555084397693508,1.7436953490578293,10598.666666666666
2,1.5,0.7,1.0,0.4,5.5,7.0,14.0,0.5801611688675337,9389.913452675744,9746.702973355255,11822.154014956473,0.038532767246016425,2.544114457050389,1.7290983060448681,10907.333333333334
15,1.5,1.0,1.0,0.4,7.0,7.0,14.0,0.5878405443106134,8908.973659957575,9819.971770012044,11696.203413452893,0.028541335588428363,2.563523354686011,1.7489553712118582,10585.666666666666
14,1.5,1.0,1.0,0.4,5.5,7.0,14.0,0.5968366495209265,9452.41587884736,9862.867393115464,11736.754038826628,0.03245833521427655,2.56196673299557,1.7393166049765079,10920.333333333334
6,1.5,0.7,1.5,0.4,7.0,7.0,14.0,0.6276463565855191,8996.246302803267,10027.227711955644,11765.901089510337,0.01050782330804525,2.618305465034676,1.7752650987866627,10596.666666666666
18,1.5,1.0,1.5,0.4,7.0,7.0,14.0,0.6297219722285209,9009.818901299821,10056.81753937935,11680.484524832558,0.009947799451898937,2.6227740978775747,1.77268773510586,10596.666666666666
9,1.5,0.7,2.0,0.4,7.0,7.0,14.0,0.640970439977164,9057.528117306247,10085.379816021066,11793.298607194869,0.005478877007114122,2.6462696966901076,1.7898541527205367,10604.0
1,1.5,0.7,1.0,0.4,4.0,7.0,14.0,0.6411452005815886,12507.15717139616,9766.12147847429,11719.407583871274,0.05784117770992348,2.5137650463970673,1.6948647426085073,12679.333333333334
12,1.5,0.7,2.5,0.4,7.0,7.0,14.0,0.642351435705297,9078.904143542612,10118.700415332081,11855.511504757715,0.004734125403420369,2.654260798621064,1.7884057700960145,10623.333333333334
5,1.5,0.7,1.5,0.4,5.5,7.0,14.0,0.6433692143205282,9522.283697890814,10114.340120268265,11851.662768092187,0.01191559361908317,2.6155815536670666,1.7784984957656509,10905.333333333334
17,1.5,1.0,1.5,0.4,5.5,7.0,14.0,0.6456902240922066,9591.759256977724,10051.084498778328,11807.507960846386,0.011249268415071184,2.620148929864318,1.778019195136259,10906.333333333334
8,1.5,0.7,2.0,0.4,5.5,7.0,14.0,0.6599805541891328,9604.564479499391,10136.38368527007,11865.628956603963,0.005571490549077007,2.649536413614116,1.7986088606332855,10902.0
11,1.5,0.7,2.5,0.4,5.5,7.0,14.0,0.6614505819096365,9639.471427693612,10152.053068691,11818.370339322368,0.005062039258527481,2.658318902243631,1.7939582822750006,10912.666666666666
20,1.5,1.0,2.0,0.4,5.5,7.0,14.0,0.6618458214706036,9628.15888738903,10146.556576404613,11724.521844327299,0.00548365210054579,2.6453518576459554,1.7951556305424348,10907.0
13,1.5,1.0,1.0,0.4,4.0,7.0,14.0,0.664136047443786,12674.567438735894,9812.341923689342,11692.20991519094,0.0498787239642978,2.52960346945518,1.7131259608221077,12672.0
4,1.5,0.7,1.5,0.4,4.0,7.0,14.0,0.7467394294886628,13043.937212480472,10054.888326585968,11766.346106471725,0.01809481086727097,2.61428793308572,1.7936238239527087,12674.666666666666
16,1.5,1.0,1.5,0.4,4.0,7.0,14.0,0.7544736766086763,13099.704568334704,10066.280068177008,11622.178904058586,0.015949580690083256,2.621582296095952,1.798413768289046,12670.333333333334
19,1.5,1.0,2.0,0.4,4.0,7.0,14.0,0.7777048546238206,13226.304147862485,10097.24144961039,11808.145555182266,0.006573033349818597,2.6612900042621015,1.8274734523063891,12660.333333333334
7,1.5,0.7,2.0,0.4,4.0,7.0,14.0,0.7788914345140903,13245.23262741763,10073.061685564635,11828.168493680385,0.00604256105474808,2.662829189203256,1.829379580281632,12661.0
10,1.5,0.7,2.5,0.4,4.0,7.0,14.0,0.7822804647437422,13283.439918796337,10112.008323434056,11748.0902605808,0.005140775769719535,2.67305626965802,1.826896205469805,12673.666666666666
