alpha,beta,gamma,delta,threshold_low,threshold_med,threshold_high,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,avg_dist_car,avg_dist_nocar,pantry_usage,delivery_usage,error
1.6,0.8,0.8,0.4,5.5,7.0,14.0,10825.505849684132,10609.97221781383,14735.47618861111,0.04669887278582931,2.297040473247,1.494494747186908,0.0,0.44,0.9102085735031378
1.6,0.6,0.8,0.4,5.5,7.0,14.0,11055.631353601031,10002.34414095363,14890.638999749544,0.05555555555555555,2.2925364711558647,1.4888052179683924,0.0,0.44,0.9109194188295522
1.6,0.7,0.8,0.4,5.5,7.0,14.0,11503.744234051503,10045.410954967001,13938.768284841108,0.05339805825242718,2.2911640854463466,1.4696146871204558,0.0,0.44,0.9207747004471347
1.6,0.8,1.0,0.4,5.5,7.0,14.0,11299.53269678839,10461.104401621693,14971.465743177807,0.03697749196141479,2.2841070536369426,1.4583927361189086,0.0,0.44,0.9365899978925241
1.6,0.6,1.0,0.4,5.5,7.0,14.0,11401.979557129282,10425.320770640388,14928.945601096742,0.03727714748784441,2.336568480992076,1.509774872652838,0.0,0.44,0.9449193219596322
1.6,0.7,1.0,0.4,5.5,7.0,14.0,11482.485099296066,10350.768382299144,14510.541535530645,0.03870967741935484,2.2792946651808488,1.5142846817463134,0.0,0.44,0.9472921927180771
1.2,0.6,0.8,0.4,5.5,7.0,14.0,11479.97866593288,10573.11463811234,14691.162532168111,0.021103896103896104,2.3324822123960844,1.4540531085006587,0.0,0.46,1.0073907852245654
1.2,0.7,0.8,0.4,5.5,7.0,14.0,11517.57962276321,10493.076675866667,14454.981770293192,0.021035598705501618,2.3625106399060174,1.4901551195686573,0.0,0.46,1.0140348860075878
1.6,0.7,1.2,0.4,5.5,7.0,14.0,11633.9837301879,10550.81617228851,14549.249637298537,0.01779935275080906,2.3720568127995367,1.465191605124932,0.0,0.46,1.0208754712231873
1.6,0.6,1.2,0.4,5.5,7.0,14.0,11627.882143284414,10453.471534416723,15094.931250140511,0.016051364365971106,2.382913506586142,1.4787606040958758,0.0,0.46,1.0216073228261626
1.2,0.6,1.0,0.4,5.5,7.0,14.0,11572.88496748452,10401.971665840407,16005.07678086496,0.008103727714748784,2.404260524647333,1.4745013399520377,0.0,0.46,1.0316127685191783
1.2,0.8,0.8,0.4,5.5,7.0,14.0,11632.07966720103,10313.296913142642,14175.710108954501,0.01468189233278956,2.3576535896217146,1.4966410071553866,0.0,0.46,1.0333096709900373
1.6,0.8,1.2,0.4,5.5,7.0,14.0,11693.141416358902,10403.159615003065,14453.981415450029,0.00975609756097561,2.3786751912901494,1.4944947471869068,0.0,0.46,1.045460754048241
1.2,0.8,1.0,0.4,5.5,7.0,14.0,11537.315495050023,10614.686483026482,15459.486515691022,0.004846526655896607,2.4162956871093098,1.4901551195686573,0.0,0.46,1.048056054130754
1.2,0.7,1.0,0.4,5.5,7.0,14.0,11514.163816150987,10869.750254717335,14737.663649804268,0.008051529790660225,2.4115831971488606,1.4888052179683922,0.0,0.46,1.0482468698780418
1.2,0.6,1.2,0.4,5.5,7.0,14.0,11380.863762796635,10374.969497444054,15517.264456665222,0.006482982171799027,2.441792912847331,1.4842052126930474,0.0,0.48,1.059990661043666
0.8,0.7,1.0,0.4,5.5,7.0,14.0,11533.083734148659,10607.928776244802,15057.526403262515,0.008090614886731391,2.460613123212936,1.4830198682397124,0.0,0.48,1.0655857891540435
0.8,0.6,1.0,0.4,5.5,7.0,14.0,11517.740432455821,10393.48582982314,15451.730148631726,0.006493506493506494,2.430758637508397,1.5270733497004716,0.0,0.48,1.0708956531481508
0.8,0.8,1.2,0.4,5.5,7.0,14.0,11388.842386140792,10742.392846044564,15006.601179179355,0.004838709677419355,2.426185524655835,1.4787606040958747,0.0,0.48,1.0726594741927824
0.8,0.7,0.8,0.4,5.5,7.0,14.0,11731.224870197302,10390.515270899,15221.458297371937,0.006462035541195477,2.4240982701532396,1.5019878856365463,0.0,0.48,1.073916278454456
0.8,0.7,1.2,0.4,5.5,7.0,14.0,11692.504577754575,10546.758052019153,15236.75628040161,0.004807692307692308,2.4382017188493688,1.4803259035730434,0.0,0.48,1.0754897328487338
1.2,0.8,1.2,0.4,5.5,7.0,14.0,11701.02750842858,10394.466346883899,14748.903078086949,0.006482982171799027,2.4195586002916913,1.5064109676320703,0.0,0.48,1.0774731827906274
0.8,0.6,0.8,0.4,5.5,7.0,14.0,11561.820171735804,10583.888663811258,14900.548168798909,0.0032310177705977385,2.4191004728220658,1.4696146871204563,0.0,0.48,1.0780847452294573
1.2,0.7,1.2,0.4,5.5,7.0,14.0,11720.623086970489,10596.059052477722,14981.25834931525,0.0048543689320388345,2.419567784225307,1.4767669055383932,0.0,0.48,1.0784713128929018
0.8,0.6,1.2,0.4,5.5,7.0,14.0,11641.060306404202,10618.45950464148,14777.49119642369,0.004830917874396135,2.457997688583273,1.4830198682397124,0.0,0.48,1.0785586810651946
0.8,0.8,1.0,0.4,5.5,7.0,14.0,11446.208307709285,10880.761484504985,14944.68683688154,0.00641025641025641,2.439282678916415,1.5387841661481614,0.0,0.48,1.081550248738611
0.8,0.8,0.8,0.4,5.5,7.0,14.0,11775.624936371476,10513.551736285326,14505.630626999391,0.006462035541195477,2.404879296341051,1.5142846817463136,0.0,0.48,1.0843019909918041
