alpha_distance,beta_price_budget,gamma_quality_variety,delta_convenience,go_shop_threshold_low,go_shop_threshold_medium,go_shop_threshold_high,avg_spend_low,avg_spend_med,avg_spend_high,corner_share,food_insecurity_share,avg_dist_car,avg_dist_nocar,total_trips
3.5620174622163177,0.5571798020042479,0.44701710585504767,0.4595303711295128,3.9416134171187878,5.353070490807294,15.924576076120136,857.3607713020752,937.3453408980033,2459.237087120111,0.42777777777777776,0.445,2.5156951147583775,0.4773561968252782,16.2
3.6587922055274253,0.5571798020042479,0.44701710585504767,0.4595303711295128,3.9416134171187878,5.353070490807294,15.924576076120136,829.9709440919898,1026.2314845963506,2759.4961886202354,0.4171392564587272,0.44,2.627579271597413,0.4765418009208697,15.87
3.5620174622163177,0.4144583776593208,0.44701710585504767,0.4595303711295128,3.9416134171187878,5.353070490807294,15.924576076120136,870.4007156906431,1031.7045203652654,2941.778522331289,0.41398158803222096,0.365,2.385555515559967,0.3860157121669022,17.38
3.5620174622163177,0.5571798020042479,0.6220443185046315,0.4595303711295128,3.9416134171187878,5.353070490807294,15.924576076120136,857.4298439062045,954.3556863700306,2382.995251565765,0.41424418604651164,0.385,2.4398784193844847,0.5354855716686177,17.2
3.5620174622163177,0.5571798020042479,0.44701710585504767,0.39671855442225934,3.9416134171187878,5.353070490807294,15.924576076120136,859.6136527249844,1048.1322436640096,2645.545482376914,0.3913905409232512,0.36,2.5030169004001013,0.5522582351820997,17.655
3.5620174622163177,0.5571798020042479,0.44701710585504767,0.4595303711295128,3.4318746879696844,5.353070490807294,15.924576076120136,820.668051843413,1010.0850923142664,2463.588708695437,0.43000590667454225,0.415,2.5253453210496963,0.46240159438586587,16.93
3.5620174622163177,0.5571798020042479,0.44701710585504767,0.4595303711295128,3.9416134171187878,4.216734486445784,15.924576076120136,823.4745012483205,1121.6592246308714,2092.6092476263916,0.39221639525255314,0.36,2.4587554050334703,0.3385001856497035,18.115
3.5620174622163177,0.5571798020042479,0.44701710585504767,0.4595303711295128,3.9416134171187878,5.353070490807294,10.900896634906529,868.9362752587076,1067.728658872402,2997.511943458159,0.3437136204889406,0.325,2.462342031287436,0.5540887745263408,17.18
3.5620174622163177,0.4144583776593208,0.6220443185046315,0.39671855442225934,3.4318746879696844,4.216734486445784,10.900896634906529,921.242056156831,1023.4944025688332,2837.4324378541432,0.3860096290002832,0.38,2.5082963834099945,0.5719677892151975,17.655
3.6587922055274253,0.5571798020042479,0.6220443185046315,0.39671855442225934,3.4318746879696844,4.216734486445784,10.900896634906529,889.1395272773157,1070.4639427482405,2858.768400468181,0.3857459789240155,0.345,2.4273469907821528,0.4776800544495925,18.03
3.6587922055274253,0.4144583776593208,0.44701710585504767,0.39671855442225934,3.4318746879696844,4.216734486445784,10.900896634906529,878.4577253967864,1080.4877651016534,2752.518609213814,0.40928725701943847,0.34,2.4951997816488065,0.3963880456508734,18.52
3.6587922055274253,0.4144583776593208,0.6220443185046315,0.4595303711295128,3.4318746879696844,4.216734486445784,10.900896634906529,832.406982061046,1095.3495135722383,3168.03824717562,0.4052790761616717,0.335,2.492915871448039,0.4337906724403083,18.185
3.6587922055274253,0.4144583776593208,0.6220443185046315,0.39671855442225934,3.9416134171187878,4.216734486445784,10.900896634906529,907.4894333176821,1073.7383853387225,2820.502579884317,0.390705214806809,0.32,2.622948009572337,0.45748696377902454,18.505
3.6587922055274253,0.4144583776593208,0.6220443185046315,0.39671855442225934,3.4318746879696844,5.353070490807294,10.900896634906529,840.853832284364,1083.9890655878824,2524.818904722841,0.36507471432757105,0.32,2.447254577948745,0.5719780218215695,17.065
3.6587922055274253,0.4144583776593208,0.6220443185046315,0.39671855442225934,3.4318746879696844,4.216734486445784,15.924576076120136,820.6308359209876,1075.6048031028222,3305.8011056597175,0.4047362755651238,0.33,2.5322219407198525,0.4854132686146167,18.58
3.6587922055274253,0.4144583776593208,0.6220443185046315,0.39671855442225934,3.4318746879696844,4.216734486445784,10.900896634906529,856.0739635252573,1108.8311552136533,2807.89942154661,0.3692394684761097,0.32,2.5577559410486033,0.5062210408095441,17.685
2.458063438721001,0.4578631708398461,0.7383455001935363,0.34666177749633786,4.2838255420327185,6.951768203079701,12.80743864402175,762.2589483073007,1017.521342940511,3136.07383871459,0.37544084642513625,0.365,2.713480704528126,0.5590761839793198,15.595
2.3141869174316523,0.4578631708398461,0.7383455001935363,0.34666177749633786,4.2838255420327185,6.951768203079701,12.80743864402175,794.2246500934644,1036.159446159043,3467.2892147189523,0.2959344468956823,0.3,2.752764257259136,0.4947952926147113,15.865
2.458063438721001,0.5385405456647276,0.7383455001935363,0.34666177749633786,4.2838255420327185,6.951768203079701,12.80743864402175,746.0299295508612,950.7268977027578,2268.9768567827796,0.3802256138022561,0.41,2.7172132009465018,0.36268957390205225,15.07
2.458063438721001,0.4578631708398461,0.48455781988799573,0.34666177749633786,4.2838255420327185,6.951768203079701,12.80743864402175,775.2398013540494,999.8513198700367,2783.794540985929,0.35805626598465473,0.335,2.478839522929025,0.39357505416686694,15.64
2.458063438721001,0.4578631708398461,0.7383455001935363,0.49896637596189974,4.2838255420327185,6.951768203079701,12.80743864402175,744.1625913951883,1016.0993542585908,3111.235601656401,0.3445669291338583,0.335,2.5392731292813435,0.5416455958874672,15.875
2.458063438721001,0.4578631708398461,0.7383455001935363,0.34666177749633786,4.93362291827798,6.951768203079701,12.80743864402175,713.3024357777042,1063.3642174203621,2668.8776821800607,0.3758975960037465,0.36,2.685643128215078,0.5801073008987886,16.015
2.458063438721001,0.4578631708398461,0.7383455001935363,0.34666177749633786,4.2838255420327185,7.416046225279571,12.80743864402175,738.6410589692051,1028.7393798310397,2935.9003332784177,0.3520905375668029,0.355,2.504485562210193,0.5240490635973588,15.905
2.458063438721001,0.4578631708398461,0.7383455001935363,0.34666177749633786,4.2838255420327185,6.951768203079701,16.485137601196765,741.7039140523154,976.0372665384223,2728.5723727642817,0.3654708520179372,0.35,2.7269751630533623,0.4926985147620387,15.61
2.458063438721001,0.5385405456647276,0.48455781988799573,0.49896637596189974,4.93362291827798,7.416046225279571,16.485137601196765,762.4003025604652,1045.4608570650664,2579.437442109823,0.35693595107821047,0.345,2.602950238678633,0.5629260395406138,15.535
2.3141869174316523,0.4578631708398461,0.48455781988799573,0.49896637596189974,4.93362291827798,7.416046225279571,16.485137601196765,768.0728897590031,991.8048469970751,3131.2576506665528,0.3210768220617203,0.325,2.6777079475083676,0.521186902467638,15.23
