output,parameter,S1,ST,S1_conf,ST_conf
avg_spend_low,alpha_distance,-0.017025589605962184,0.07043407514268074,0.05506032024975985,0.016003709172951876
avg_spend_low,beta_price_budget,-0.009408112758983407,0.08102421288361607,0.04751131614637349,0.017688055747345055
avg_spend_low,gamma_quality_variety,0.01162593359370816,0.07024090051245244,0.05008829181031744,0.014810604528832906
avg_spend_low,delta_convenience,-0.008836584947415188,0.06704755079910937,0.05494845787161047,0.014015826407895587
avg_spend_low,go_shop_threshold_low,0.925388028075266,1.044759484786267,0.1639302198921601,0.12347746358656018
avg_spend_low,go_shop_threshold_medium,-0.028966363605591777,0.06964117002384743,0.04780532996648326,0.013564778600546399
avg_spend_low,go_shop_threshold_high,-0.014571210009021514,0.07081186091172324,0.049303782984979394,0.015779199330367602
avg_spend_med,alpha_distance,-0.08958765990102632,0.7155570659116804,0.14610333226182848,0.13013879313543794
avg_spend_med,beta_price_budget,0.08217855283060416,0.6248216764168119,0.13990376707449798,0.11365213085482842
avg_spend_med,gamma_quality_variety,0.09929547816766011,0.6819120925848775,0.14895543625877194,0.12214241531958105
avg_spend_med,delta_convenience,0.15283698274788343,0.7183788207372339,0.15212398661265578,0.13630314231630092
avg_spend_med,go_shop_threshold_low,0.02892473484673695,0.708244291480331,0.14308288780399245,0.1393081495719936
avg_spend_med,go_shop_threshold_medium,0.2787042714210767,1.0911396583697266,0.18703774451661265,0.20421037650232063
avg_spend_med,go_shop_threshold_high,-0.03346623894972351,0.5534798934608355,0.15510789531013108,0.09773494398647144
avg_spend_high,alpha_distance,-0.007714279253056566,0.9000078447980636,0.1838277887684646,0.15862279805377097
avg_spend_high,beta_price_budget,-0.06973868016049439,0.9528324006152847,0.14596955176202422,0.18253312469005079
avg_spend_high,gamma_quality_variety,0.006264622036896704,0.8709171963347583,0.16365655285420724,0.1545417020641288
avg_spend_high,delta_convenience,0.06811537217342074,0.8956464834624338,0.17098814572918444,0.150253756631922
avg_spend_high,go_shop_threshold_low,0.012607720885776722,0.8612287964409364,0.15552005821429832,0.1897353730948453
avg_spend_high,go_shop_threshold_medium,0.0930592041786509,0.9709661367824092,0.18256708740118138,0.14319055974992498
avg_spend_high,go_shop_threshold_high,-0.0023518172469400053,0.945933852911814,0.1802503395862761,0.16372362546122138
corner_share,alpha_distance,-0.04396249908337451,0.6557800318204288,0.1413270638758997,0.11969335035004856
corner_share,beta_price_budget,0.05796704618952549,0.6667728184303883,0.15084359791353638,0.1333013845166254
corner_share,gamma_quality_variety,-0.12830059913913236,0.5779686996133849,0.14890351364795404,0.09319910278580776
corner_share,delta_convenience,-0.07298886800049059,0.6688139958201131,0.14304431487625066,0.11711997605178184
corner_share,go_shop_threshold_low,0.15387181306231265,0.8587701736140599,0.16664926974822758,0.12404192778877805
corner_share,go_shop_threshold_medium,-0.03405036729061445,0.6564043638676732,0.13844152406890148,0.11698282568923464
corner_share,go_shop_threshold_high,-0.058985878629096496,0.6774094103915027,0.13243549972848329,0.12137098478558483
food_insecurity_share,alpha_distance,-0.1735080527838459,1.0907788937327596,0.18351830308760714,0.19442639893427827
food_insecurity_share,beta_price_budget,0.1593395545663754,1.0671811779319793,0.19960638009115914,0.19045500456837772
food_insecurity_share,gamma_quality_variety,-0.016003860476347404,0.9583794959192213,0.16610801298990788,0.15992395177224153
food_insecurity_share,delta_convenience,-0.11141194242662104,0.9975889320971083,0.16604480505362806,0.206768600215037
food_insecurity_share,go_shop_threshold_low,-0.03847183164579675,1.047546437303849,0.17287858071457707,0.23474698183679307
food_insecurity_share,go_shop_threshold_medium,-0.040898262644913,0.9024775279535051,0.14016990590483358,0.1623388900611855
food_insecurity_share,go_shop_threshold_high,0.01523939984475076,0.9769934702150023,0.16898552611077106,0.1495921688320737
avg_dist_car,alpha_distance,0.05920747345007047,0.7613030952263856,0.16458852586150843,0.16382763248559404
avg_dist_car,beta_price_budget,-0.06119441855807285,0.7486888967312801,0.14188522785225488,0.1488971775245814
avg_dist_car,gamma_quality_variety,-0.11106150809427222,0.6795502759987354,0.12390543365820766,0.14788063269032486
avg_dist_car,delta_convenience,-0.013014714555654313,0.6668598600674728,0.14707702493903602,0.12343223522087904
avg_dist_car,go_shop_threshold_low,0.07985684750701477,1.053390682017697,0.18368517319334537,0.2035040359774648
avg_dist_car,go_shop_threshold_medium,-0.13510891691123553,0.7643183205580333,0.1636708068979904,0.15030584846907138
avg_dist_car,go_shop_threshold_high,-0.01406626069938079,0.71610054740947,0.1642625826931353,0.1601323070638362
avg_dist_nocar,alpha_distance,-0.019947551565016278,0.9717584486026077,0.16006910203895727,0.1419533569049352
avg_dist_nocar,beta_price_budget,0.01027328368999546,0.9766058747697728,0.15189849417491288,0.1584795297546596
avg_dist_nocar,gamma_quality_variety,-0.027634560494242934,1.0919691284890451,0.17193600066941542,0.16409495122281337
avg_dist_nocar,delta_convenience,-0.05127719907067068,1.0033670956275378,0.1360465517825489,0.17160603716783449
avg_dist_nocar,go_shop_threshold_low,-0.061945003742364536,1.023221359704888,0.1892876939709792,0.14793568526443152
avg_dist_nocar,go_shop_threshold_medium,-0.1590394034375135,0.8499164144745766,0.1496110814582384,0.12856216934711318
avg_dist_nocar,go_shop_threshold_high,0.0776796874910498,0.9908766035127152,0.15192025243047774,0.17488429291131374
total_trips,alpha_distance,-0.033889422196135985,0.04734258501794725,0.03786452252914761,0.011899656511002088
total_trips,beta_price_budget,-0.013993881597492961,0.041161170618540764,0.03845074370695488,0.012727017946854621
total_trips,gamma_quality_variety,0.013795148421784403,0.04886677059236407,0.04207619566137542,0.010699599518845092
total_trips,delta_convenience,-0.028971542150119475,0.04440304457397432,0.031830468069922395,0.013324310478472733
total_trips,go_shop_threshold_low,0.8326722131204294,0.8525652935130724,0.16280910004137966,0.10774092483568548
total_trips,go_shop_threshold_medium,0.07799511476521809,0.13450761476814574,0.05446465106507774,0.029382137429868484
total_trips,go_shop_threshold_high,-0.016384835062288675,0.048581868712211415,0.03546066189937289,0.01633337253900455
