geo,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Total:_size,Family households:,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more person household,Nonfamily households:,1-person household,2-person household.1,3-person household.1,4-person household.1,5-person household.1,6-person household.1,7-or-more person household.1,Total:_veh,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 or more vehicles available,1-person household:,No vehicle available.1,1 vehicle available.1,2 vehicles available.1,3 vehicles available.1,4 or more vehicles available.1,2-person household:,No vehicle available.2,1 vehicle available.2,2 vehicles available.2,3 vehicles available.2,4 or more vehicles available.2,3-person household:,No vehicle available.3,1 vehicle available.3,2 vehicles available.3,3 vehicles available.3,4 or more vehicles available.3,4-or-more-person household:,No vehicle available.4,1 vehicle available.4,2 vehicles available.4,3 vehicles available.4,4 or more vehicles available.4,Total:_snap,Household received Food Stamps/SNAP in the past 12 months:,Households with 1 or more persons with a disability,Households with no persons with a disability,Household did not receive Food Stamps/SNAP in the past 12 months:,Households with 1 or more persons with a disability.1,Households with no persons with a disability.1,Less_than_25k,25k_to_50k,50k_plus,tract_raw,tract_display
"Census Tract 102.02, Duval County, Florida: Summary level: 140, state:12> county:031> tract:010202",1268,52,36,20,57,33,51,67,95,43,110,125,222,216,47,65,29,1268,921,428,239,131,93,30,0,347,283,64,0,0,0,0,0,1268,47,437,529,189,66,283,39,214,10,20,0,492,0,136,331,25,0,239,8,51,47,105,28,254,0,36,141,39,38,1268,68,46,22,1200,323,877,0.1301261829652996,0.2279179810725552,0.6419558359621451,010202,102.02
"Census Tract 110, Duval County, Florida: Summary level: 140, state:12> county:031> tract:011000",1390,99,131,175,66,41,121,71,55,90,119,202,111,55,29,0,25,1390,967,410,218,160,82,63,34,423,343,54,26,0,0,0,0,1390,164,595,418,141,72,343,42,229,54,0,18,464,76,178,173,24,13,244,21,103,80,40,0,339,25,85,111,77,41,1390,561,257,304,829,220,609,0.3388489208633093,0.2719424460431655,0.3892086330935251,011000,110
"Census Tract 112, Duval County, Florida: Summary level: 140, state:12> county:031> tract:011200",1176,157,65,43,24,172,34,61,68,60,185,86,116,72,16,8,9,1176,831,313,384,33,101,0,0,345,318,27,0,0,0,0,0,1176,78,466,420,188,24,318,78,206,34,0,0,340,0,112,184,44,0,384,0,102,167,99,16,134,0,46,35,45,8,1176,443,134,309,733,302,431,0.2457482993197279,0.3358843537414966,0.4183673469387755,011200,112
"Census Tract 118, Duval County, Florida: Summary level: 140, state:12> county:031> tract:011800",1027,136,75,151,119,9,86,34,22,51,38,71,83,67,9,33,43,1027,590,278,94,113,37,0,68,437,377,60,0,0,0,0,0,1027,131,468,300,61,67,377,0,272,88,8,9,338,81,82,138,37,0,94,10,23,30,16,15,218,40,91,44,0,43,1027,274,84,190,753,261,492,0.4683544303797468,0.1966893865628043,0.3349561830574489,011800,118
"Census Tract 3, Duval County, Florida: Summary level: 140, state:12> county:031> tract:000300",794,145,68,146,48,74,38,35,78,15,34,30,23,32,13,15,0,794,363,145,47,76,63,32,0,431,333,83,0,0,15,0,0,794,225,345,156,54,14,333,96,196,41,0,0,228,61,96,60,11,0,47,5,9,5,28,0,186,63,44,50,15,14,794,284,166,118,510,181,329,0.5125944584382871,0.3022670025188917,0.1851385390428211,000300,3
"Census Tract 26, Duval County, Florida: Summary level: 140, state:12> county:031> tract:002600",1236,295,92,221,94,40,47,50,79,55,97,62,85,0,7,12,0,1236,713,323,185,57,69,22,57,523,429,48,21,0,25,0,0,1236,385,534,228,80,9,429,200,151,60,18,0,371,72,160,106,24,9,206,66,109,13,18,0,230,47,114,49,20,0,1236,623,189,434,613,209,404,0.5679611650485437,0.2192556634304207,0.2127831715210356,002600,26
"Census Tract 107, Duval County, Florida: Summary level: 140, state:12> county:031> tract:010700",1856,413,119,53,126,159,72,99,93,81,150,110,219,86,38,23,15,1856,1140,424,251,304,79,19,63,716,673,43,0,0,0,0,0,1856,158,814,706,166,12,673,138,447,88,0,0,467,20,192,201,54,0,251,0,94,87,58,12,465,0,81,330,54,0,1856,467,150,317,1389,395,994,0.3830818965517241,0.271551724137931,0.3453663793103448,010700,107
"Census Tract 121, Duval County, Florida: Summary level: 140, state:12> county:031> tract:012100",607,64,61,0,21,116,33,22,56,27,38,33,59,43,11,9,14,607,424,133,120,114,23,34,0,183,95,60,28,0,0,0,0,607,42,185,290,65,25,95,3,66,26,0,0,193,8,9,147,22,7,148,19,53,46,27,3,171,12,57,71,16,15,607,147,13,134,460,110,350,0.2405271828665568,0.4184514003294893,0.3410214168039538,012100,121
"Census Tract 28.01, Duval County, Florida: Summary level: 140, state:12> county:031> tract:002801",1821,319,52,91,277,155,172,74,161,72,146,98,140,46,0,9,9,1821,991,449,252,158,132,0,0,830,697,109,0,24,0,0,0,1821,426,944,325,98,28,697,208,464,16,0,9,558,141,230,171,16,0,252,9,163,59,21,0,314,68,87,79,61,19,1821,584,210,374,1237,373,864,0.4058209774848984,0.3481603514552444,0.2460186710598572,002801,28.01
"Census Tract 10, Duval County, Florida: Summary level: 140, state:12> county:031> tract:001000",753,204,228,106,42,4,0,34,32,20,25,20,0,11,6,21,0,753,191,130,41,0,20,0,0,562,547,15,0,0,0,0,0,753,416,269,63,0,5,547,317,225,0,0,5,145,95,44,6,0,0,41,4,0,37,0,0,20,0,0,20,0,0,753,402,284,118,351,231,120,0.7702523240371846,0.1195219123505976,0.1102257636122178,001000,10
"Census Tract 108, Duval County, Florida: Summary level: 140, state:12> county:031> tract:010800",1875,182,189,192,131,122,47,129,84,116,262,137,199,31,0,46,8,1875,1067,397,316,157,131,66,0,808,775,23,10,0,0,0,0,1875,303,840,495,194,43,775,227,453,83,12,0,420,43,183,184,10,0,326,33,80,102,77,34,354,0,124,126,95,9,1875,571,281,290,1304,578,726,0.3701333333333333,0.2656,0.3642666666666667,010800,108
"Census Tract 115, Duval County, Florida: Summary level: 140, state:12> county:031> tract:011500",1592,279,177,211,68,129,71,48,119,145,109,104,42,64,0,16,10,1592,903,337,304,119,105,18,20,689,614,70,5,0,0,0,0,1592,511,614,399,43,25,614,265,285,64,0,0,407,93,115,172,10,17,309,42,169,69,21,8,262,111,45,94,12,0,1592,579,220,359,1013,293,720,0.4616834170854271,0.321608040201005,0.2167085427135678,011500,115
"Census Tract 119.01, Duval County, Florida: Summary level: 140, state:12> county:031> tract:011901",2704,223,68,42,154,235,72,85,168,172,198,269,398,290,214,44,72,2704,1934,875,424,295,212,79,49,770,618,143,0,0,0,9,0,2704,131,808,1133,413,219,618,27,445,118,28,0,1018,52,157,561,146,102,424,0,71,191,148,14,644,52,135,263,91,103,2704,466,239,227,2238,770,1468,0.1801035502958579,0.2707100591715976,0.5491863905325444,011901,119.01
