"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"1400000US12031010104","Census Tract 101.04; Duval County; Florida","6631","994","4189","722","1293","606","52","61","177","171","0","21","298","318","622","372","413","276","209","259",
"1400000US12031010105","Census Tract 101.05; Duval County; Florida","2581","269","1798","242","368","129","7","13","79","98","0","15","135","177","194","171","38","70","156","151",
"1400000US12031010106","Census Tract 101.06; Duval County; Florida","5929","732","3720","576","1830","284","0","21","41","64","20","34","89","113","229","186","130","147","99","118",
"1400000US12031010107","Census Tract 101.07; Duval County; Florida","5747","1244","4540","968","459","443","0","21","369","293","0","21","0","21","379","245","218","191","161","192",
"1400000US12031010202","Census Tract 102.02; Duval County; Florida","3260","496","2230","389","518","383","8","13","10","16","0","15","128","179","366","203","240","188","126","102",
"1400000US12031010203","Census Tract 102.03; Duval County; Florida","8102","1657","4619","1598","1749","470","0","21","275","223","0","21","246","187","1213","774","528","440","685","479",
"1400000US12031010204","Census Tract 102.04; Duval County; Florida","4404","530","2499","616","1078","275","0","15","142","160","0","15","88","89","597","333","344","259","253","189",
"1400000US12031010301","Census Tract 103.01; Duval County; Florida","8334","1001","4048","1036","3024","1021","0","21","280","376","0","21","598","420","384","223","55","59","329","211",
"1400000US12031010305","Census Tract 103.05; Duval County; Florida","7438","2296","1068","371","5395","2262","20","34","0","21","0","21","566","511","389","257","60","65","329","251",
"1400000US12031010306","Census Tract 103.06; Duval County; Florida","1451","311","506","332","873","163","0","15","0","15","0","15","33","57","39","50","35","49","4","7",
"1400000US12031010307","Census Tract 103.07; Duval County; Florida","2300","521","184","134","1944","566","0","15","0","15","0","15","98","156","74","106","0","15","74","106",
"1400000US12031010308","Census Tract 103.08; Duval County; Florida","5527","843","444","154","4614","781","0","21","0","21","0","21","0","21","469","487","325","409","144","186",
"1400000US12031010401","Census Tract 104.01; Duval County; Florida","3211","417","1056","206","1913","340","0","15","32","60","0","15","64","100","146","154","11","16","135","153",
"1400000US12031010402","Census Tract 104.02; Duval County; Florida","4700","1411","1639","605","2539","1279","12","19","98","117","0","15","191","151","221","194","123","168","98","102",
"1400000US12031010501","Census Tract 105.01; Duval County; Florida","5895","1081","948","508","4664","1211","17","30","0","21","10","22","140","196","116","121","28","52","88","121",
"1400000US12031010502","Census Tract 105.02; Duval County; Florida","4057","597","1954","520","1440","486","0","15","13","26","0","15","243","272","407","367","254","244","153","209",
"1400000US12031010503","Census Tract 105.03; Duval County; Florida","7129","1863","1403","598","5378","1791","0","21","21","38","0","21","22","43","305","338","178","259","127","202",
"1400000US12031010601","Census Tract 106.01; Duval County; Florida","5341","958","2993","697","2260","993","0","21","9","14","0","21","67","66","12","19","0","21","12","19",
"1400000US12031010602","Census Tract 106.02; Duval County; Florida","3517","1324","2801","1322","245","177","0","15","243","280","25","43","0","15","203","127","102","109","101","80",
"1400000US12031010700","Census Tract 107; Duval County; Florida","4583","867","259","271","4299","873","0","15","0","15","0","15","25","41","0","15","0","15","0","15",
"1400000US12031010800","Census Tract 108; Duval County; Florida","5422","896","385","146","4873","915","0","21","0","21","0","21","16","26","148","144","73","101","75","102",
"1400000US12031010900","Census Tract 109; Duval County; Florida","3652","616","177","96","3098","487","58","92","4","6","19","31","219","301","77","82","0","15","77","82",
"1400000US12031011000","Census Tract 110; Duval County; Florida","3387","611","660","223","2341","567","0","15","2","8","0","15","170","154","214","203","147","197","67","50",
"1400000US12031011100","Census Tract 111; Duval County; Florida","3113","618","524","187","2526","613","0","15","0","15","0","15","0","15","63","52","19","29","44","43",
"1400000US12031011200","Census Tract 112; Duval County; Florida","2596","534","83","56","2427","521","0","15","0","15","0","15","0","15","86","87","64","81","22","35",
"1400000US12031011300","Census Tract 113; Duval County; Florida","3300","641","205","190","2895","654","0","15","0","15","0","15","0","15","200","122","0","15","200","122",
"1400000US12031011400","Census Tract 114; Duval County; Florida","2018","541","70","38","1856","535","28","35","0","15","0","15","26","39","38","37","7","10","31","36",
"1400000US12031011500","Census Tract 115; Duval County; Florida","4048","844","335","296","3507","844","0","15","25","42","0","15","6","10","175","185","156","185","19","22",
"1400000US12031011600","Census Tract 116; Duval County; Florida","4482","862","133","123","4236","909","0","15","0","15","0","15","0","15","113","115","68","103","45","60",
"1400000US12031011700","Census Tract 117; Duval County; Florida","3203","723","1685","467","1137","517","0","15","0","15","0","15","80","116","301","375","251","378","50","40",
"1400000US12031011800","Census Tract 118; Duval County; Florida","3203","567","1568","532","1290","379","19","22","30","35","0","15","50","45","246","287","195","283","51","43",
"1400000US12031011901","Census Tract 119.01; Duval County; Florida","7760","1555","4358","701","1591","1074","0","21","316","383","0","21","151","132","1344","886","1044","782","300","373",
"1400000US12031011903","Census Tract 119.03; Duval County; Florida","5269","765","3589","757","1252","359","44","63","137","96","0","21","23","27","224","141","93","101","131","94",
"1400000US12031011904","Census Tract 119.04; Duval County; Florida","4220","404","1825","417","1641","428","0","15","207","161","0","15","409","379","138","139","61","106","77","85",
"1400000US12031011905","Census Tract 119.05; Duval County; Florida","6340","1082","3169","710","2128","644","4","29","222","92","168","211","1","3","648","347","350","290","298","218",
"1400000US12031012000","Census Tract 120; Duval County; Florida","5801","872","3119","616","1546","668","0","21","376","396","0","21","120","166","640","345","142","149","498","267",
"1400000US12031012100","Census Tract 121; Duval County; Florida","1914","372","985","388","695","231","0","15","28","26","0","15","172","129","34","33","1","7","33","33",
"1400000US12031012201","Census Tract 122.01; Duval County; Florida","3109","797","1550","346","1048","615","0","15","222","245","0","15","150","230","139","221","0","15","139","221",
"1400000US12031012202","Census Tract 122.02; Duval County; Florida","4781","685","2157","568","1690","429","0","15","258","273","0","15","417","249","259","197","120","170","139","100",
"1400000US12031012300","Census Tract 123; Duval County; Florida","3655","474","2371","385","986","312","36","41","0","15","0","15","93","85","169","137","91","120","78","64",
"1400000US12031012400","Census Tract 124; Duval County; Florida","2612","502","2112","480","213","155","6","9","70","56","0","15","45","38","166","107","59","61","107","74",
"1400000US12031012500","Census Tract 125; Duval County; Florida","4092","597","2047","300","1109","305","0","15","115","83","0","15","532","420","289","215","180","183","109","90",
"1400000US12031012601","Census Tract 126.01; Duval County; Florida","4397","788","1262","364","2158","582","58","74","63","96","0","15","295","370","561","425","201","168","360","406",
"1400000US12031012602","Census Tract 126.02; Duval County; Florida","6288","1085","2383","855","3242","883","0","21","180","231","0","21","223","301","260","177","128","135","132","118",
"1400000US12031012702","Census Tract 127.02; Duval County; Florida","6652","1059","1980","333","3779","1046","0","21","236","278","0","21","461","499","196","188","3","7","193","188",
"1400000US12031012703","Census Tract 127.03; Duval County; Florida","6136","1029","2731","754","2525","690","15","21","370","310","0","21","244","155","251","169","51","48","200","162",
"1400000US12031012704","Census Tract 127.04; Duval County; Florida","5530","1066","1190","243","3337","1042","0","21","131","91","0","21","564","190","308","207","74","90","234","185",
"1400000US12031012800","Census Tract 128; Duval County; Florida","7523","1077","2318","498","4035","976","0","21","262","263","0","21","588","341","320","240","248","138","72","206",
"1400000US12031012900","Census Tract 129; Duval County; Florida","2665","458","1517","518","487","331","6","9","99","99","0","15","93","77","463","296","245","210","218","209",
"1400000US12031013000","Census Tract 130; Duval County; Florida","2810","381","2658","399","4","7","0","15","0","15","22","32","0","15","126","119","6","9","120","118",
"1400000US12031013100","Census Tract 131; Duval County; Florida","2383","287","1943","262","124","107","0","15","112","138","0","15","7","14","197","131","132","109","65","55",
"1400000US12031013200","Census Tract 132; Duval County; Florida","2388","336","1664","363","354","114","23","29","77","85","14","27","14","26","242","106","152","110","90","50",
"1400000US12031013301","Census Tract 133.01; Duval County; Florida","3350","541","1829","463","1125","353","6","11","179","198","0","15","0","15","211","158","46","79","165","142",
"1400000US12031013302","Census Tract 133.02; Duval County; Florida","4057","878","1712","407","1747","758","15","25","306","349","19","33","38","65","220","145","143","111","77","87",
"1400000US12031013402","Census Tract 134.02; Duval County; Florida","5578","883","2361","502","2087","736","17","21","350","274","0","21","246","314","517","264","208","178","309","152",
"1400000US12031013403","Census Tract 134.03; Duval County; Florida","3010","450","1294","218","1413","380","0","15","47","58","0","15","95","142","161","128","82","117","79","49",
"1400000US12031013404","Census Tract 134.04; Duval County; Florida","3119","503","1786","319","744","359","0","15","140","80","0","15","193","199","256","153","101","83","155","125",
"1400000US12031013502","Census Tract 135.02; Duval County; Florida","3222","547","1342","423","836","273","0","15","54","62","0","15","461","291","529","372","326","352","203","138",
"1400000US12031013504","Census Tract 135.04; Duval County; Florida","5415","1135","1879","653","2254","753","0","21","164","139","0","21","494","415","624","512","486","496","138","260",
"1400000US12031013522","Census Tract 135.22; Duval County; Florida","3926","1113","2033","1036","1024","357","5","11","431","235","0","15","105","138","328","204","41","58","287","192",
"1400000US12031013523","Census Tract 135.23; Duval County; Florida","4552","868","1222","379","1984","559","0","15","475","341","0","15","132","202","739","773","396","594","343","294",
"1400000US12031013524","Census Tract 135.24; Duval County; Florida","4189","589","1554","376","1826","587","0","15","349","265","0","15","38","55","422","302","205","193","217","217",
"1400000US12031013525","Census Tract 135.25; Duval County; Florida","6441","1382","2554","676","3269","1277","0","21","192","197","0","21","125","219","301","316","23","24","278","315",
"1400000US12031013526","Census Tract 135.26; Duval County; Florida","8500","954","2782","779","4146","965","0","21","416","202","0","21","435","357","721","313","463","165","258","203",
"1400000US12031013723","Census Tract 137.23; Duval County; Florida","12056","1574","4573","1090","4636","998","63","92","460","219","0","23","1205","511","1119","477","393","231","726","408",
"1400000US12031013728","Census Tract 137.28; Duval County; Florida","6361","1847","3680","1953","1315","471","0","21","54","69","0","21","653","724","659","362","312","267","347","233",
"1400000US12031013729","Census Tract 137.29; Duval County; Florida","5511","672","2653","510","1049","283","0","21","467","456","0","21","930","594","412","316","50","79","362","294",
"1400000US12031013730","Census Tract 137.30; Duval County; Florida","3797","479","2279","317","837","245","0","15","354","229","0","15","19","29","308","194","114","132","194","143",
"1400000US12031013731","Census Tract 137.31; Duval County; Florida","4188","620","2340","472","782","278","51","58","337","271","0","15","183","173","495","273","92","68","403","286",
"1400000US12031013732","Census Tract 137.32; Duval County; Florida","5619","971","1040","476","2656","579","31","50","305","294","0","21","783","425","804","477","347","282","457","341",
"1400000US12031013733","Census Tract 137.33; Duval County; Florida","6320","650","2524","687","3380","886","0","21","183","203","0","21","62","91","171","202","29","48","142","198",
"1400000US12031013800","Census Tract 138; Duval County; Florida","4009","473","2331","369","697","253","0","15","104","56","38","50","40","38","799","322","279","151","520","290",
"1400000US12031013901","Census Tract 139.01; Duval County; Florida","5184","1122","4024","1112","397","144","16","17","170","109","0","21","55","66","522","242","381","223","141","93",
"1400000US12031013902","Census Tract 139.02; Duval County; Florida","4885","446","2838","552","1166","370","0","15","183","157","0","15","175","138","523","202","232","181","291","149",
"1400000US12031013904","Census Tract 139.04; Duval County; Florida","4925","529","3842","567","325","232","0","15","145","113","0","15","77","71","536","244","349","217","187","105",
"1400000US12031013905","Census Tract 139.05; Duval County; Florida","4157","468","3665","447","0","15","0","15","183","185","0","15","32","35","277","133","183","113","94","69",
"1400000US12031013906","Census Tract 139.06; Duval County; Florida","4519","506","3688","433","113","62","11","19","131","174","0","15","136","143","440","307","308","286","132","111",
"1400000US12031014001","Census Tract 140.01; Duval County; Florida","4590","415","4389","431","0","15","90","110","18","23","10","18","19","31","64","73","32","59","32","45",
"1400000US12031014002","Census Tract 140.02; Duval County; Florida","2609","334","2428","332","0","15","0","15","14","19","0","15","19","22","148","90","134","88","14","21",
"1400000US12031014101","Census Tract 141.01; Duval County; Florida","4586","550","4263","553","39","53","0","15","73","61","0","15","9","14","202","118","92","72","110","84",
"1400000US12031014103","Census Tract 141.03; Duval County; Florida","2530","333","2188","340","4","5","0","15","40","50","0","15","37","42","261","192","106","79","155","181",
"1400000US12031014104","Census Tract 141.04; Duval County; Florida","1913","466","1405","431","251","261","0","15","95","98","0","15","0","15","162","152","85","129","77","84",
"1400000US12031014203","Census Tract 142.03; Duval County; Florida","4487","601","4152","543","53","53","0","15","30","51","0","15","0","15","252","239","250","238","2","5",
"1400000US12031014204","Census Tract 142.04; Duval County; Florida","5946","993","5590","1017","61","60","21","32","0","21","0","21","21","35","253","157","162","108","91","90",
"1400000US12031014205","Census Tract 142.05; Duval County; Florida","2870","496","2257","491","77","74","0","15","92","112","13","21","125","139","306","236","42","36","264","230",
"1400000US12031014206","Census Tract 142.06; Duval County; Florida","1269","187","1107","177","14","22","0","15","32","32","12","21","23","29","81","66","70","64","11","20",
"1400000US12031014311","Census Tract 143.11; Duval County; Florida","5097","745","2545","492","1323","516","49","59","135","138","0","21","169","235","876","444","408","364","468","295",
"1400000US12031014312","Census Tract 143.12; Duval County; Florida","6965","1052","3974","719","1240","817","0","21","586","281","0","21","99","93","1066","336","351","249","715","254",
"1400000US12031014328","Census Tract 143.28; Duval County; Florida","6610","1111","3654","731","951","774","0","21","430","240","0","21","39","62","1536","582","484","270","1052","554",
"1400000US12031014329","Census Tract 143.29; Duval County; Florida","3212","417","2063","452","339","218","0","15","178","119","0","15","233","259","399","228","209","193","190","141",
"1400000US12031014330","Census Tract 143.30; Duval County; Florida","4623","588","3807","527","116","76","15","18","237","165","0","15","10","16","438","244","230","183","208","118",
"1400000US12031014331","Census Tract 143.31; Duval County; Florida","4906","755","2609","480","466","489","0","15","279","310","0","15","118","113","1434","597","1189","597","245","135",
"1400000US12031014333","Census Tract 143.33; Duval County; Florida","3468","438","2293","333","768","291","0","15","111","103","0","15","110","93","186","105","79","62","107","79",
"1400000US12031014334","Census Tract 143.34; Duval County; Florida","5123","1241","3275","1295","1029","280","0","21","387","256","0","21","44","72","388","193","199","148","189","151",
"1400000US12031014335","Census Tract 143.35; Duval County; Florida","8586","1035","5195","844","846","491","0","21","500","235","0","21","647","820","1398","660","1133","654","265","165",
"1400000US12031014336","Census Tract 143.36; Duval County; Florida","5967","586","2896","356","1057","346","0","21","1017","297","0","21","154","131","843","301","362","189","481","276",
"1400000US12031014338","Census Tract 143.38; Duval County; Florida","5065","1178","3066","917","835","447","0","21","105","84","0","21","207","232","852","741","117","98","735","748",
"1400000US12031014339","Census Tract 143.39; Duval County; Florida","5255","923","2652","603","310","250","0","21","1409","607","0","21","46","64","838","565","599","526","239","164",
"1400000US12031014340","Census Tract 143.40; Duval County; Florida","5900","628","4005","449","663","140","0","21","352","139","0","21","465","666","415","309","120","144","295","216",
"1400000US12031014341","Census Tract 143.41; Duval County; Florida","3511","544","2681","562","395","484","0","15","198","292","0","15","0","15","237","181","115","123","122","114",
"1400000US12031014342","Census Tract 143.42; Duval County; Florida","4699","1089","2791","620","293","84","9","16","164","112","0","15","352","505","1090","1072","841","1086","249","210",
"1400000US12031014343","Census Tract 143.43; Duval County; Florida","7788","2362","4289","1586","934","368","7","13","696","267","72","126","119","143","1671","1580","1465","1572","206","144",
"1400000US12031014344","Census Tract 143.44; Duval County; Florida","4956","1070","1983","385","747","412","10","16","1198","706","0","15","292","162","726","377","579","406","147","107",
"1400000US12031014408","Census Tract 144.08; Duval County; Florida","4156","398","3508","460","275","215","7","11","99","75","0","15","12","20","255","195","110","69","145","157",
"1400000US12031014413","Census Tract 144.13; Duval County; Florida","6013","754","2944","837","605","401","80","90","1762","603","0","21","287","322","335","244","244","223","91","119",
"1400000US12031014414","Census Tract 144.14; Duval County; Florida","7402","1794","4355","1680","822","749","0","21","658","349","0","21","795","710","772","398","156","239","616","358",
"1400000US12031014415","Census Tract 144.15; Duval County; Florida","5958","586","3916","523","863","296","28","37","176","121","0","21","140","91","835","395","546","391","289","123",
"1400000US12031014416","Census Tract 144.16; Duval County; Florida","6583","895","4241","658","1270","733","0","21","558","241","0","21","43","54","471","230","241","183","230","168",
"1400000US12031014417","Census Tract 144.17; Duval County; Florida","8119","1072","4839","1011","425","223","0","21","1293","468","131","155","334","246","1097","466","545","305","552","349",
"1400000US12031014418","Census Tract 144.18; Duval County; Florida","1703","132","1600","150","0","15","0","15","30","39","0","15","0","15","73","53","23","21","50","46",
"1400000US12031014419","Census Tract 144.19; Duval County; Florida","5127","681","4214","657","51","63","0","21","492","222","0","21","90","97","280","239","236","238","44","60",
"1400000US12031014420","Census Tract 144.20; Duval County; Florida","4348","445","2386","392","589","318","0","15","647","429","13","21","50","77","663","330","468","324","195","194",
"1400000US12031014421","Census Tract 144.21; Duval County; Florida","5567","541","4550","577","118","164","17","28","347","175","0","21","0","21","535","253","224","165","311","163",
"1400000US12031014422","Census Tract 144.22; Duval County; Florida","2746","407","2192","380","88","87","0","15","102","86","0","15","14","22","350","159","210","134","140","101",
"1400000US12031014423","Census Tract 144.23; Duval County; Florida","20727","3118","13851","3013","2522","1267","0","28","916","556","0","28","1196","990","2242","1007","1073","663","1169","673",
"1400000US12031014424","Census Tract 144.24; Duval County; Florida","6946","693","4686","876","854","144","66","84","500","350","0","21","168","188","672","531","177","188","495","474",
"1400000US12031014425","Census Tract 144.25; Duval County; Florida","4218","614","1931","546","880","530","0","15","556","338","0","15","505","442","346","211","245","175","101","112",
"1400000US12031014426","Census Tract 144.26; Duval County; Florida","4577","522","2766","472","979","378","0","15","333","247","0","15","144","179","355","175","100","108","255","159",
"1400000US12031014427","Census Tract 144.27; Duval County; Florida","2352","403","1310","770","11","29","0","15","116","157","0","15","46","53","869","502","859","516","10","35",
"1400000US12031014428","Census Tract 144.28; Duval County; Florida","5708","1077","3327","856","722","622","0","21","772","405","0","21","136","124","751","532","625","519","126","132",
"1400000US12031014500","Census Tract 145; Duval County; Florida","4676","1050","2791","1112","800","217","38","31","269","184","0","15","252","161","526","240","328","179","198","151",
"1400000US12031014601","Census Tract 146.01; Duval County; Florida","5924","571","4419","665","291","141","0","21","423","273","0","21","42","46","749","379","532","313","217","207",
"1400000US12031014603","Census Tract 146.03; Duval County; Florida","5862","715","4098","680","715","415","0","21","53","93","0","21","137","172","859","582","454","487","405","318",
"1400000US12031014604","Census Tract 146.04; Duval County; Florida","6037","810","2427","506","2158","667","0","21","443","338","0","21","296","183","713","373","464","337","249","171",
"1400000US12031014702","Census Tract 147.02; Duval County; Florida","3071","1051","1170","407","1329","901","6","16","263","257","0","15","30","53","273","189","122","104","151","151",
"1400000US12031014703","Census Tract 147.03; Duval County; Florida","1527","215","827","208","613","211","25","68","41","46","4","7","0","15","17","26","0","15","17","26",
"1400000US12031014704","Census Tract 147.04; Duval County; Florida","6598","1099","2577","604","2643","972","61","66","72","115","0","21","102","77","1143","623","633","438","510","416",
"1400000US12031014800","Census Tract 148; Duval County; Florida","6827","762","3318","528","2542","660","0","21","14","22","0","21","185","195","768","258","352","122","416","240",
"1400000US12031014901","Census Tract 149.01; Duval County; Florida","6662","1161","3222","709","2447","933","0","21","233","139","0","21","304","237","456","239","227","158","229","202",
"1400000US12031014902","Census Tract 149.02; Duval County; Florida","8294","801","4047","1001","2621","1081","79","98","126","145","0","21","872","597","549","324","187","133","362","289",
"1400000US12031015001","Census Tract 150.01; Duval County; Florida","5671","762","2881","558","1895","532","0","21","528","258","0","21","62","79","305","206","195","175","110","101",
"1400000US12031015002","Census Tract 150.02; Duval County; Florida","4743","1024","2166","699","1944","714","0","15","88","97","0","15","120","91","425","328","102","145","323","296",
"1400000US12031015100","Census Tract 151; Duval County; Florida","4704","849","2356","792","963","289","0","15","152","188","0","15","32","43","1201","433","812","380","389","252",
"1400000US12031015200","Census Tract 152; Duval County; Florida","3640","558","1418","356","1485","437","0","15","136","116","0","15","235","195","366","234","274","210","92","68",
"1400000US12031015300","Census Tract 153; Duval County; Florida","3189","463","1809","312","1043","497","1","3","30","36","0","15","24","27","282","202","90","128","192","129",
"1400000US12031015400","Census Tract 154; Duval County; Florida","2415","461","1179","318","654","252","0","15","118","143","0","15","256","305","208","196","0","15","208","196",
"1400000US12031015501","Census Tract 155.01; Duval County; Florida","4371","936","2125","645","830","457","109","93","155","168","0","15","0","15","1152","588","559","404","593","390",
"1400000US12031015502","Census Tract 155.02; Duval County; Florida","5626","674","1424","369","3202","487","0","21","35","52","0","21","335","360","630","471","243","178","387","354",
"1400000US12031015600","Census Tract 156; Duval County; Florida","3973","668","2887","583","430","302","0","15","39","42","0","15","150","156","467","242","328","212","139","77",
"1400000US12031015701","Census Tract 157.01; Duval County; Florida","1504","366","702","211","481","334","4","9","261","233","0","15","0","15","56","76","0","15","56","76",
"1400000US12031015702","Census Tract 157.02; Duval County; Florida","3659","791","2819","712","444","256","0","15","74","129","0","15","46","59","276","206","152","121","124","164",
"1400000US12031015803","Census Tract 158.03; Duval County; Florida","3350","647","2054","261","410","177","0","15","28","53","0","15","275","383","583","626","209","234","374","606",
"1400000US12031015804","Census Tract 158.04; Duval County; Florida","3497","472","2719","593","127","129","0","15","68","91","0","15","148","206","435","197","410","195","25","29",
"1400000US12031015805","Census Tract 158.05; Duval County; Florida","6603","1099","2651","1016","2618","893","0","21","527","360","0","21","165","147","642","378","373","322","269","208",
"1400000US12031015806","Census Tract 158.06; Duval County; Florida","2802","455","1365","318","996","497","0","15","116","93","0","15","72","93","253","178","125","138","128","91",
